# batch	value
1	108.95131573
2	187.66968786
3	166.26628711
4	98.44656388
5	138.05190319
6	143.38390572
7	152.75944373
8	127.78764414
9	140.13969888
10	109.65778657
11	133.41060068
12	177.49920747
13	190.48110197
14	100.52401829
15	142.83849446
16	135.69259948
17	109.94803077
18	158.28733069
19	155.40053881
20	122.36088640
21	111.57238006
22	124.05193525
23	154.79849653
24	129.14603412
25	121.41151512
26	135.24320771
27	130.31714926
28	188.02943325
29	108.50771083
30	141.66945441
31	120.17402417
32	141.69253509
33	144.38189450
34	145.38243380
35	132.76380141
36	98.01034948
37	115.10615013
38	132.37231528
39	177.36068828
40	103.37473616
41	162.72354810
42	146.94369120
43	130.52733162
44	125.09267746
45	167.47877613
46	209.14762842
47	141.22288732
48	121.75512957
49	123.39923844
50	144.03186869
51	125.96773065
52	132.21275555
53	108.88113794
54	158.22784292
55	117.46704343
56	139.38421399
57	115.95214519
58	120.61898904
59	125.18493343
60	103.96130190
61	162.58551029
62	142.59608086
63	105.14703007
64	133.19600688
