# batch	value
1	0.68651512
2	0.75655397
3	0.71231429
4	0.65636957
5	0.73594734
6	0.70594626
7	0.73705308
8	0.68857162
9	0.67824029
10	0.65539238
11	0.69478124
12	0.75311536
13	0.71415333
14	0.63774785
15	0.70300803
16	0.72284661
17	0.68614573
18	0.72936705
19	0.71934465
20	0.71201753
21	0.65646150
22	0.69503931
23	0.71682315
24	0.67055291
25	0.70760514
26	0.72225604
27	0.69309669
28	0.76184206
29	0.67498201
30	0.68832651
31	0.72120750
32	0.72863881
33	0.69550836
34	0.73620513
35	0.71856215
36	0.65925334
37	0.68619354
38	0.73938453
39	0.71290555
40	0.70678348
41	0.74205623
42	0.70933867
43	0.67271103
44	0.74327416
45	0.73927579
46	0.75588020
47	0.71116519
48	0.68486832
49	0.70993267
50	0.68283832
51	0.68115540
52	0.74822075
53	0.67076428
54	0.71273035
55	0.65731586
56	0.71630385
57	0.68990756
58	0.66892182
59	0.74148826
60	0.64808940
61	0.71565036
62	0.76463826
63	0.65506876
64	0.72158806
