# batch	value
1	2.04133478
2	2.28600071
3	1.90653833
4	1.79094208
5	2.04430542
6	1.68491853
7	2.15048732
8	1.69494299
9	1.84646265
10	2.23639026
11	2.18280600
12	2.08174661
13	1.47452978
14	1.75713302
15	1.90255002
16	1.97162962
17	1.93568304
18	2.25131830
19	2.29625035
20	2.05651404
21	1.89954741
22	1.93354862
23	2.03642422
24	2.04830318
25	1.86550311
26	1.83829850
27	1.83227736
28	2.83320941
29	1.83615879
30	1.82961581
31	1.96754501
32	1.95435708
33	1.68959510
34	2.15813276
35	2.25432948
36	1.66026533
37	2.13725537
38	2.21880838
39	1.94608804
40	1.91550958
41	2.36075165
42	1.91447956
43	1.97209710
44	2.04680306
45	1.69008319
46	2.27291640
47	2.04136064
48	1.86239894
49	2.28130970
50	1.96309695
51	1.89773452
52	2.29055049
53	1.76531502
54	1.80070006
55	1.57574445
56	2.17127530
57	2.07466867
58	1.92747914
59	2.25282197
60	1.85069428
61	2.12181839
62	2.48423488
63	2.19246117
64	2.04494125
