# batch	value
1	492.57148850
2	536.80055232
3	458.01023072
4	456.41912157
5	476.11647902
6	427.82891365
7	480.81235626
8	418.05863665
9	424.12255955
10	515.90312884
11	505.58192238
12	483.00385310
13	391.81765788
14	451.23990104
15	445.48026719
16	468.47608730
17	482.48803234
18	475.40443818
19	497.65319472
20	462.19359540
21	464.88688196
22	458.04375958
23	464.15929315
24	492.95608991
25	469.33640302
26	423.81734533
27	442.76404124
28	599.40477016
29	463.37859383
30	447.23720451
31	433.65229332
32	467.69839449
33	429.25041597
34	480.91741756
35	537.38379474
36	440.25297963
37	482.65118062
38	487.11021041
39	446.11172716
40	454.20342292
41	525.51939171
42	455.57730808
43	471.71029999
44	526.30597676
45	410.78245967
46	533.45806889
47	480.10280107
48	462.39045771
49	490.69396295
50	436.72965827
51	453.49872962
52	506.40788718
53	432.01529508
54	466.09558453
55	383.79248148
56	480.38686655
57	482.08051147
58	452.41934083
59	498.61729968
60	434.45922465
61	463.12770132
62	556.22907101
63	486.97610214
64	468.83369052
