# batch	value
1	53.46326386
2	66.00070153
3	54.29585500
4	48.30891878
5	59.81325016
6	59.54545657
7	74.09547662
8	60.39689025
9	60.24409494
10	58.84180269
11	67.76023499
12	55.08501598
13	64.46831931
14	65.28494712
15	71.36717261
16	70.66658574
17	57.58698998
18	50.28299245
19	58.73116713
20	57.66364784
21	76.56175829
22	72.95546336
23	55.36455625
24	67.21842978
25	68.63469275
26	74.10273629
27	70.92124193
28	74.90720606
29	70.88289982
30	56.79174660
31	61.39179721
32	80.08010834
33	73.34272646
34	61.75189006
35	58.80873354
36	69.51165883
37	61.30159428
38	59.59298976
39	54.12323528
40	75.49005713
41	83.59795857
42	55.87540676
43	67.02150113
44	60.91521281
45	61.52868981
46	68.40602442
47	74.42288082
48	71.52427185
49	61.21055150
50	62.38375801
51	66.40127515
52	67.43517768
53	63.43718478
54	52.12233591
55	59.30841321
56	68.33855219
57	53.72825688
58	55.65997128
59	64.63271159
60	51.62970624
61	51.27401457
62	70.77956386
63	66.23768775
64	69.34519242
