# batch	value
1	0.05437201
2	0.06638222
3	0.03972103
4	0.04348926
5	0.04985757
6	0.06143401
7	0.04273102
8	0.04418934
9	0.05239286
10	0.03616566
11	0.03386068
12	0.04387714
13	0.05359139
14	0.05423659
15	0.06362223
16	0.03980312
17	0.04840205
18	0.05222806
19	0.06334868
20	0.05738404
21	0.07530886
22	0.05901598
23	0.04818178
24	0.06344287
25	0.06910597
26	0.05597587
27	0.04410473
28	0.07579875
29	0.05549903
30	0.05048777
31	0.05859948
32	0.06793518
33	0.05012372
34	0.05975460
35	0.05537587
36	0.04515516
37	0.04703038
38	0.04632326
39	0.04974731
40	0.07291873
41	0.07393710
42	0.05174527
43	0.04684074
44	0.07124051
45	0.04979007
46	0.04918624
47	0.04286002
48	0.04801773
49	0.05388033
50	0.05639096
51	0.05533610
52	0.05772978
53	0.05313888
54	0.03736623
55	0.04951398
56	0.04179920
57	0.03881584
58	0.05146859
59	0.06488589
60	0.03404357
61	0.04320007
62	0.05621420
63	0.05486478
64	0.06794489
