# batch	value
1	0.04960977
2	0.09171170
3	0.04078148
4	0.07081732
5	0.07431712
6	0.06421276
7	0.11995073
8	0.03830120
9	0.09017420
10	0.03555308
11	0.07495731
12	0.10570812
13	0.06749577
14	0.03122425
15	0.06546665
16	0.04306298
17	0.07920386
18	0.10094031
19	0.08711155
20	0.08428054
21	0.04837447
22	0.05051158
23	0.05332224
24	0.08351348
25	0.04000486
26	0.04941623
27	0.09645629
28	0.09362010
29	0.05652530
30	0.09844380
31	0.05757643
32	0.05754375
33	0.05690112
34	0.06978246
35	0.04584363
36	0.05043196
37	0.07688787
38	0.12314256
39	0.04975334
40	0.07680197
41	0.09672244
42	0.05650843
43	0.08097288
44	0.05285949
45	0.07828232
46	0.06407332
47	0.06999713
48	0.06278842
49	0.09586086
50	0.07626801
51	0.05509709
52	0.07147079
53	0.06214334
54	0.10239879
55	0.04777175
56	0.06791979
57	0.05786206
58	0.03157352
59	0.07892514
60	0.05356465
61	0.19317925
62	0.11897370
63	0.09602412
64	0.05012674
