# batch	value
1	0.00367358
2	0.00283508
3	0.00222103
4	0.00287386
5	0.00251593
6	0.00276013
7	0.00373812
8	0.00295321
9	0.00329171
10	0.00275618
11	0.00221861
12	0.00359318
13	0.00291319
14	0.00295592
15	0.00220438
16	0.00405113
17	0.00294570
18	0.00318955
19	0.00236832
20	0.00285687
21	0.00273763
22	0.00297078
23	0.00326974
24	0.00408083
25	0.00398566
26	0.00335509
27	0.00232616
28	0.00366061
29	0.00341907
30	0.00424554
31	0.00300024
32	0.00214979
33	0.00246733
34	0.00326854
35	0.00262337
36	0.00180543
37	0.00282022
38	0.00351489
39	0.00322298
40	0.00248619
41	0.00332113
42	0.00338660
43	0.00343093
44	0.00236790
45	0.00269285
46	0.00350924
47	0.00357687
48	0.00292901
49	0.00372502
50	0.00272180
51	0.00259304
52	0.00356168
53	0.00350275
54	0.00336153
55	0.00365102
56	0.00404029
57	0.00260186
58	0.00308267
59	0.00421945
60	0.00347292
61	0.00226286
62	0.00294764
63	0.00362539
64	0.00375559
