# batch	value
1	3.30215222
2	3.19661414
3	3.00604291
4	3.04018786
5	3.00863134
6	3.13939242
7	3.24127669
8	3.14731592
9	3.05260283
10	3.07571451
11	3.04332520
12	3.20669588
13	3.24924689
14	3.18175588
15	3.01236124
16	3.30998620
17	3.18395735
18	2.98661098
19	3.10239534
20	3.15301942
21	3.17977284
22	3.29977392
23	3.10765356
24	3.34362970
25	3.22699136
26	3.29707130
27	3.04694645
28	3.23133778
29	3.17687947
30	3.42490075
31	3.32921000
32	2.99037860
33	3.01520511
34	3.21892959
35	3.18016748
36	2.92736323
37	3.11255400
38	3.26780181
39	3.09863520
40	3.09732640
41	3.26236043
42	3.13981690
43	3.23062512
44	3.05935739
45	3.14173210
46	3.18453506
47	3.14792012
48	3.18513416
49	3.34355372
50	3.14851281
51	3.07567431
52	3.19359954
53	3.21722847
54	3.17546137
55	3.18915949
56	3.15725786
57	3.16688585
58	3.13261604
59	3.34438993
60	3.13113177
61	2.98277538
62	3.28553644
63	3.24250192
64	3.24691330
