# batch	value
1	0.05770824
2	0.05925247
3	0.05477838
4	0.05403582
5	0.05624582
6	0.05661656
7	0.05971323
8	0.05458208
9	0.05545965
10	0.05475228
11	0.05476112
12	0.05813446
13	0.05869506
14	0.05324625
15	0.05619102
16	0.05779053
17	0.05671178
18	0.05694561
19	0.05928389
20	0.05617947
21	0.05498015
22	0.05756331
23	0.05695281
24	0.05892743
25	0.05675026
26	0.06075425
27	0.05372543
28	0.06041428
29	0.05739014
30	0.06020027
31	0.06384958
32	0.05296137
33	0.05479956
34	0.06052886
35	0.05834528
36	0.05131680
37	0.05563774
38	0.06132249
39	0.05506416
40	0.05838454
41	0.06173878
42	0.05710820
43	0.05609494
44	0.05703538
45	0.05828392
46	0.05810428
47	0.05523806
48	0.05509612
49	0.06090008
50	0.05733434
51	0.05456325
52	0.06017756
53	0.05728755
54	0.05617696
55	0.05485443
56	0.05579230
57	0.05524173
58	0.05519251
59	0.06143915
60	0.05510647
61	0.05582374
62	0.06186708
63	0.05855460
64	0.05687072
