# batch	value
1	1.36203891
2	1.81947678
3	1.82381866
4	1.47231645
5	1.81963497
6	1.43498463
7	1.57267949
8	1.58354873
9	1.08429157
10	1.68613852
11	1.65004450
12	1.61815560
13	1.30394216
14	1.30649193
15	1.58754221
16	1.51019722
17	1.37298399
18	1.76136122
19	1.56777462
20	1.45113643
21	1.47489464
22	1.57385232
23	1.40898659
24	1.33967615
25	1.39428359
26	1.51615366
27	1.68816650
28	1.83809893
29	1.62208337
30	1.32753497
31	1.40076435
32	1.82947890
33	1.53008771
34	1.51320786
35	1.48793729
36	1.39822372
37	1.72814606
38	1.62018762
39	1.48467771
40	1.38209533
41	1.66195119
42	1.47553397
43	1.49018834
44	1.52582551
45	1.52420890
46	1.66612880
47	1.60993935
48	1.31949451
49	1.79663792
50	1.80341026
51	1.36540317
52	1.47542932
53	1.53109186
54	1.25955305
55	1.39344053
56	1.63005466
57	1.48562572
58	1.71342683
59	1.64973275
60	1.35301235
61	1.85625079
62	1.65300644
63	1.73366502
64	1.56811355
