# batch	value
1	0.33319219
2	0.40126449
3	0.58243965
4	0.40205154
5	0.47812407
6	0.36223138
7	0.52747267
8	0.30422818
9	1.02156377
10	0.37093255
11	0.45296520
12	0.42802166
13	0.32336510
14	0.31465267
15	0.40525785
16	0.30888403
17	0.35134722
18	0.51092511
19	0.49838151
20	0.34433324
21	0.31666339
22	0.45837446
23	0.55836476
24	0.36056574
25	0.49114727
26	0.46094508
27	0.51705991
28	0.40326426
29	0.47526072
30	0.45482179
31	0.61506237
32	0.35660047
33	0.46500218
34	0.61856645
35	0.32726138
36	0.36223675
37	0.45490717
38	0.68738606
39	0.45890679
40	0.32923233
41	0.61487055
42	0.45118857
43	0.37128214
44	0.40176881
45	0.48662763
46	0.34529232
47	0.34254732
48	0.46578217
49	0.54712426
50	0.49676927
51	0.40226052
52	0.48735683
53	0.38382025
54	0.66111202
55	0.33423974
56	0.36117906
57	0.27915076
58	0.37767747
59	0.36755485
60	0.54326843
61	0.72445689
62	0.58542806
63	0.45667712
64	0.42847678
