# batch	value
1	79.69121215
2	78.86364787
3	94.98953631
4	81.57740383
5	84.92124285
6	77.19673405
7	88.81567299
8	75.83906138
9	118.58079184
10	81.10955915
11	85.90210935
12	84.71410108
13	77.28017231
14	78.68617967
15	82.10540009
16	72.25754871
17	76.77955877
18	87.24440053
19	89.48948363
20	76.04053831
21	76.02183968
22	87.70879367
23	93.07287632
24	78.78760121
25	91.61519118
26	81.97280673
27	88.65083363
28	81.11848524
29	87.70347648
30	85.12267794
31	95.68387027
32	78.33973071
33	86.59584931
34	92.53997407
35	76.70537794
36	81.08256615
37	84.73762768
38	97.39274988
39	84.26832096
40	75.28895788
41	97.32687526
42	83.33325737
43	76.80679632
44	83.31613234
45	89.05667428
46	76.32447777
47	79.14659695
48	84.79960652
49	90.37036076
50	90.78714167
51	83.71282550
52	86.00682058
53	82.62666806
54	97.69203670
55	77.16327150
56	78.05490692
57	71.97048295
58	83.90940799
59	81.74304208
60	92.65668933
61	103.47205133
62	94.17644623
63	82.57207551
64	86.13594693
