# batch	value
1	0.53350324
2	0.52483425
3	0.56563570
4	0.52578322
5	0.54306734
6	0.51348332
7	0.56869418
8	0.50410377
9	0.58433614
10	0.54210056
11	0.55109729
12	0.55312903
13	0.53701197
14	0.50543695
15	0.54051438
16	0.49918492
17	0.50711179
18	0.57901693
19	0.58557187
20	0.49459934
21	0.48982539
22	0.53656211
23	0.57865045
24	0.52508261
25	0.55842279
26	0.53030074
27	0.52293946
28	0.55732478
29	0.56388207
30	0.53744373
31	0.59440865
32	0.51061389
33	0.55574591
34	0.55785666
35	0.53067137
36	0.52808493
37	0.53187322
38	0.58737719
39	0.51918230
40	0.52948448
41	0.61216247
42	0.54122940
43	0.49421827
44	0.54929952
45	0.56264169
46	0.53979396
47	0.53663944
48	0.50347840
49	0.55517794
50	0.57063815
51	0.54059782
52	0.56895497
53	0.55333160
54	0.55331718
55	0.50893099
56	0.53716220
57	0.48689780
58	0.55205854
59	0.57845078
60	0.55355207
61	0.60891337
62	0.59042548
63	0.52523626
64	0.54809974
