# batch	value
1	323.09513153
2	398.05261459
3	385.25318708
4	318.39440544
5	352.91645965
6	353.67168574
7	375.96515667
8	338.13894253
9	390.88144005
10	327.54329586
11	355.70001353
12	395.26566267
13	392.10310684
14	316.29352433
15	353.02725023
16	341.93094179
17	330.22653829
18	372.92511749
19	371.39850158
20	331.56197173
21	318.90840170
22	340.96419897
23	381.13434743
24	346.81117270
25	347.31116171
26	348.47606413
27	353.81502258
28	399.76622429
29	331.40449979
30	364.10811565
31	351.62457031
32	350.68535251
33	363.71394374
34	367.55780144
35	341.69705836
36	314.95905285
37	335.37368372
38	365.12170459
39	384.93595577
40	318.06561038
41	394.70564836
42	362.58261409
43	347.56154511
44	339.44028775
45	382.94020262
46	410.16453435
47	356.17413323
48	342.74471038
49	350.41841425
50	366.56013257
51	342.67935371
52	353.74299316
53	329.76986517
54	387.73696132
55	328.70170522
56	356.32508622
57	326.28736033
58	335.50498218
59	347.63797278
60	333.82872286
61	402.28861701
62	376.87599273
63	331.02747508
64	349.54430234
