# batch	value
1	0.02376852
2	0.02709936
3	0.02431611
4	0.01142647
5	0.02635090
6	0.00735037
7	0.02082634
8	0.02398160
9	0.02239884
10	0.01896733
11	0.02603471
12	0.01610825
13	0.00660640
14	0.00281690
15	0.01336452
16	0.01441985
17	0.00851064
18	0.02361111
19	0.02612827
20	0.01326700
21	0.00591099
22	0.01828649
23	0.01590595
24	0.02183868
25	0.01050136
26	0.00447658
27	0.01077804
28	0.04746210
29	0.01119134
30	0.01000357
31	0.00931356
32	0.02571711
33	0.02200406
34	0.02126200
35	0.02135107
36	0.00316901
37	0.01606838
38	0.04889807
39	0.02935290
40	0.00838282
41	0.03906511
42	0.02170109
43	0.01411765
44	0.01930894
45	0.03028330
46	0.01961459
47	0.01837621
48	0.02835922
49	0.04011065
50	0.01719395
51	0.01782042
52	0.02077052
53	0.01324266
54	0.03647626
55	0.01080893
56	0.01384667
57	0.00729443
58	0.01165182
59	0.01606964
60	0.00637845
61	0.03932390
62	0.02977175
63	0.01599418
64	0.02803129
