# batch	value
1	1.21142792
2	2.95682081
3	1.68001198
4	0.99517168
5	1.47615910
6	1.69198767
7	1.81821887
8	1.38805359
9	1.22862481
10	1.02962128
11	1.66226746
12	2.47629150
13	1.89536300
14	1.00949177
15	1.57692426
16	1.54020928
17	1.07553761
18	1.87389748
19	1.99302912
20	1.52090234
21	1.27854458
22	1.40557619
23	1.53885186
24	1.78706078
25	1.75923854
26	1.72856800
27	1.35485001
28	2.45278256
29	1.03563695
30	1.47628219
31	0.99269518
32	1.51720036
33	1.33582448
34	2.19013896
35	1.43181153
36	0.89565885
37	1.47288624
38	1.85006587
39	1.92813080
40	1.32513503
41	1.85537339
42	1.70258021
43	1.26964960
44	1.60372708
45	2.16267378
46	2.84086738
47	1.63188148
48	1.86165490
49	1.26074951
50	1.36811907
51	1.10995030
52	1.96361775
53	1.14709976
54	2.25618198
55	1.20006247
56	1.50796518
57	1.23527449
58	1.25833585
59	1.46118151
60	1.10771974
61	1.73680245
62	2.08005320
63	1.14534214
64	1.75132703
