# batch	value
1	0.67947675
2	0.75657009
3	0.69512007
4	0.65531892
5	0.73859428
6	0.71440288
7	0.72664950
8	0.69063429
9	0.66618134
10	0.67004219
11	0.71840009
12	0.76082690
13	0.70820082
14	0.65417988
15	0.69984594
16	0.72519721
17	0.69227355
18	0.71756034
19	0.73780291
20	0.69837078
21	0.65574092
22	0.69868373
23	0.70693993
24	0.68431268
25	0.71868914
26	0.70502752
27	0.68126651
28	0.76459349
29	0.66923900
30	0.67949509
31	0.72251336
32	0.72208511
33	0.69517868
34	0.73599059
35	0.70091914
36	0.66551519
37	0.69888639
38	0.72543261
39	0.72555325
40	0.70390626
41	0.74992907
42	0.73106288
43	0.69004766
44	0.73773625
45	0.73108504
46	0.75719830
47	0.70364079
48	0.69997975
49	0.69259950
50	0.68736073
51	0.68478786
52	0.74572632
53	0.68130256
54	0.69460319
55	0.65977939
56	0.70814877
57	0.68594254
58	0.68511401
59	0.73919851
60	0.65117780
61	0.72280242
62	0.75583013
63	0.65738442
64	0.72165092
