# batch	value
1	1.72642164
2	2.15470577
3	2.15601634
4	1.74968665
5	2.07613364
6	1.55308384
7	2.22733649
8	1.76121267
9	1.96466534
10	1.87340673
11	1.66192139
12	2.33283724
13	1.69921359
14	1.60251641
15	1.98571112
16	2.17560485
17	2.10361757
18	2.99429575
19	2.04093197
20	2.10717268
21	1.76838996
22	1.76146357
23	2.17475487
24	2.19236003
25	1.80921543
26	2.23268964
27	2.16671383
28	2.25391792
29	1.78559872
30	2.15256843
31	1.79453877
32	2.31497453
33	2.11423674
34	2.08206052
35	2.00866346
36	1.85135591
37	1.72860172
38	2.29563081
39	1.84845680
40	2.05178158
41	2.13788051
42	1.88126215
43	1.78373058
44	1.96339713
45	1.78412314
46	2.47108522
47	2.10944456
48	2.05330030
49	2.34670157
50	2.00724484
51	2.22202267
52	2.26350153
53	1.71834616
54	2.37027248
55	2.09614957
56	2.04132229
57	1.81083823
58	2.18600992
59	2.26067741
60	2.02770848
61	2.14877266
62	2.27474461
63	2.03606847
64	2.36328871
