# batch	value
1	431.94795807
2	511.67546243
3	505.12720341
4	438.23231161
5	474.86798924
6	428.55449006
7	474.46195382
8	438.06964454
9	424.71048961
10	452.67250492
11	405.03251423
12	528.22731881
13	427.81170879
14	431.55213713
15	433.59446697
16	513.85562703
17	509.21083209
18	604.15140649
19	465.78843205
20	470.60949062
21	445.10076399
22	433.48944756
23	488.32411800
24	487.10397353
25	473.12629793
26	512.90993992
27	501.39500490
28	495.32764598
29	445.41981931
30	501.79389156
31	406.10656871
32	522.63115067
33	501.00867617
34	481.88632211
35	463.77678525
36	478.00123900
37	419.97540209
38	478.06823257
39	447.14790672
40	459.58410213
41	491.38275922
42	462.84776849
43	431.59955700
44	495.45340866
45	411.85173627
46	567.89140842
47	492.80459352
48	513.85227511
49	482.38732074
50	458.85833740
51	499.45249861
52	507.19114043
53	436.57864114
54	555.22403563
55	475.12336668
56	453.56887566
57	437.44012622
58	497.57108568
59	497.57553037
60	463.70109112
61	491.44308551
62	513.32153368
63	452.36095105
64	517.48766910
