# batch	value
1	0.77471239
2	0.84760496
3	0.83160412
4	0.76737348
5	0.83485244
6	0.79211625
7	0.83185919
8	0.82203362
9	0.82175533
10	0.80440017
11	0.79906993
12	0.82219176
13	0.77505495
14	0.77748176
15	0.78903537
16	0.83073159
17	0.80720477
18	0.90222519
19	0.83053767
20	0.83509784
21	0.76489054
22	0.76262328
23	0.83586009
24	0.80414952
25	0.78975946
26	0.85783746
27	0.82706659
28	0.83606226
29	0.78764220
30	0.80885569
31	0.81527553
32	0.83516292
33	0.83971980
34	0.82575344
35	0.82087458
36	0.78468816
37	0.78550247
38	0.85453540
39	0.80406622
40	0.80775880
41	0.83717769
42	0.83044726
43	0.80516474
44	0.79501066
45	0.80576144
46	0.83396997
47	0.79897808
48	0.78627364
49	0.85774837
50	0.81341767
51	0.83859652
52	0.85743363
53	0.77693464
54	0.80279200
55	0.78532917
56	0.85069439
57	0.79456742
58	0.81598413
59	0.87263416
60	0.78812598
61	0.84030890
62	0.85762549
63	0.83362959
64	0.84616652
