# batch	value
1	0.00039376
2	0.00106970
3	0.00264501
4	0.00102009
5	0.00500182
6	0.00072071
7	0.01226743
8	0.00574902
9	0.00000000
10	0.00052721
11	0.00763764
12	0.00470088
13	0.00936238
14	0.00525926
15	0.00457430
16	0.00263254
17	0.00418390
18	0.00301314
19	0.00189636
20	0.00331101
21	0.00687897
22	0.00341056
23	0.00143648
24	0.00133704
25	0.00236185
26	0.00557362
27	0.00203883
28	0.00462039
29	0.00000000
30	0.00120986
31	0.00379164
32	0.00575662
33	0.00105319
34	0.00339537
35	0.00492604
36	0.00090903
37	0.00095118
38	0.00000000
39	0.00144660
40	0.00455088
41	0.00341719
42	0.00173214
43	0.00078991
44	0.00624369
45	0.00351671
46	0.01059974
47	0.00693955
48	0.00449611
49	0.00600253
50	0.00263071
51	0.00145096
52	0.00164151
53	0.00197665
54	0.00000000
55	0.00000000
56	0.00000000
57	0.00016854
58	0.00000000
59	0.00421844
60	0.00014460
61	0.00000000
62	0.00306199
63	0.00485552
64	0.00146841
