# batch	value
1	0.05443297
2	0.06617782
3	0.04004404
4	0.04326171
5	0.04998334
6	0.06117242
7	0.04276720
8	0.04426565
9	0.05209554
10	0.03615704
11	0.03379337
12	0.04407666
13	0.05350821
14	0.05398583
15	0.06401254
16	0.03967164
17	0.04847853
18	0.05223521
19	0.06319271
20	0.05712285
21	0.07802295
22	0.05645578
23	0.04839131
24	0.06331065
25	0.06905272
26	0.05590197
27	0.04437326
28	0.07568584
29	0.05566000
30	0.05040596
31	0.05865753
32	0.06799008
33	0.05009509
34	0.05982664
35	0.05525369
36	0.04509432
37	0.04693618
38	0.04647100
39	0.04972796
40	0.07302281
41	0.07341710
42	0.05168559
43	0.04684567
44	0.07117209
45	0.04969357
46	0.04937878
47	0.04278842
48	0.04814608
49	0.05370757
50	0.05644106
51	0.05522939
52	0.05963063
53	0.05138513
54	0.03735414
55	0.04456305
56	0.04700358
57	0.03876314
58	0.05158575
59	0.06453083
60	0.03414238
61	0.04315066
62	0.05671311
63	0.05432204
64	0.06797100
