# batch	value
1	0.11341889
2	0.08700694
3	0.09014114
4	0.12819836
5	0.11681167
6	0.05754785
7	0.09991690
8	0.07242728
9	0.09520621
10	0.06922059
11	0.10388623
12	0.07052972
13	0.07048693
14	0.03146448
15	0.20100075
16	0.05086652
17	0.10639561
18	0.13117991
19	0.08545804
20	0.05089520
21	0.07985028
22	0.08505805
23	0.07341662
24	0.07578276
25	0.08883344
26	0.08013812
27	0.08394487
28	0.07634955
29	0.07910398
30	0.09573023
31	0.07315074
32	0.05672638
33	0.07250652
34	0.09534239
35	0.05442548
36	0.05806977
37	0.10184840
38	0.20180406
39	0.05900125
40	0.07617153
41	0.08879051
42	0.08937399
43	0.07420166
44	0.12038076
45	0.12090817
46	0.02801763
47	0.09403382
48	0.06005656
49	0.13860428
50	0.05202568
51	0.08487586
52	0.14377620
53	0.14126268
54	0.11708003
55	0.13977349
56	0.09816601
57	0.09318748
58	0.07707697
59	0.09176535
60	0.07367081
61	0.18759253
62	0.28550369
63	0.10167184
64	0.06579256
