# batch	value
1	135.24383038
2	133.66736540
3	135.59980262
4	142.37058796
5	131.30284847
6	130.52056124
7	138.68972231
8	138.49986555
9	136.08879065
10	129.50718637
11	137.00381491
12	129.58671387
13	131.28381129
14	124.30383365
15	142.39194874
16	134.77987488
17	140.47510616
18	134.15020613
19	136.08134639
20	126.12862214
21	132.21306390
22	140.47139164
23	132.67115255
24	135.81431423
25	134.17158948
26	128.98499501
27	134.84255317
28	127.34318359
29	135.49227879
30	133.03697582
31	129.65670354
32	131.68409843
33	131.77914997
34	136.79029000
35	135.58214398
36	137.75743799
37	135.53847157
38	141.20807694
39	133.05542424
40	129.28687946
41	139.36664287
42	124.88482275
43	135.30243715
44	139.84424122
45	141.87444844
46	121.50279477
47	134.13532326
48	128.85927452
49	142.43564876
50	125.81713707
51	143.33583887
52	137.02476221
53	140.90455799
54	137.19870073
55	135.94374382
56	134.84280270
57	131.64833615
58	135.98898094
59	133.30139819
60	135.20677975
61	142.33556857
62	152.89401744
63	129.96186398
64	128.55188268
