# batch	value
1	0.45418612
2	0.47177738
3	0.47668405
4	0.47645027
5	0.46350127
6	0.45630624
7	0.49970138
8	0.46546658
9	0.48112652
10	0.45271543
11	0.47134739
12	0.46090119
13	0.45587770
14	0.41278036
15	0.48034126
16	0.47707105
17	0.48015345
18	0.48163413
19	0.49515233
20	0.43217518
21	0.43579604
22	0.47221949
23	0.47148189
24	0.47035063
25	0.45574577
26	0.45738339
27	0.46103117
28	0.46808353
29	0.48047312
30	0.45511731
31	0.47874728
32	0.44938669
33	0.46418914
34	0.49504915
35	0.47997905
36	0.46926626
37	0.46391214
38	0.50065857
39	0.46345265
40	0.46240843
41	0.50792651
42	0.43675446
43	0.46237110
44	0.48090316
45	0.49977958
46	0.44044411
47	0.46253657
48	0.43519665
49	0.49059233
50	0.44719969
51	0.48780505
52	0.48708016
53	0.48228047
54	0.47417440
55	0.44891500
56	0.47397836
57	0.44138078
58	0.46497552
59	0.47365239
60	0.47146975
61	0.49395601
62	0.51557043
63	0.45553348
64	0.44213383
