# batch	value
1	0.00355063
2	0.00352211
3	0.00297638
4	0.00283809
5	0.00317843
6	0.00231760
7	0.00435256
8	0.00260771
9	0.00501772
10	0.00300585
11	0.00387601
12	0.00304943
13	0.00280744
14	0.00207104
15	0.00443347
16	0.00376780
17	0.00296323
18	0.00386912
19	0.00350995
20	0.00323233
21	0.00254141
22	0.00348409
23	0.00348044
24	0.00441141
25	0.00339357
26	0.00431200
27	0.00346150
28	0.00425694
29	0.00305024
30	0.00395813
31	0.00468974
32	0.00222600
33	0.00424426
34	0.00507316
35	0.00270675
36	0.00245873
37	0.00389282
38	0.00435921
39	0.00330657
40	0.00252427
41	0.00327358
42	0.00216183
43	0.00334479
44	0.00464362
45	0.00479503
46	0.00374704
47	0.00310518
48	0.00270942
49	0.00448764
50	0.00308587
51	0.00300923
52	0.00298085
53	0.00311953
54	0.00229383
55	0.00315492
56	0.00232121
57	0.00322749
58	0.00271083
59	0.00245001
60	0.00365748
61	0.00356605
62	0.00344568
63	0.00194811
64	0.00270498
