# batch	value
1	3.29638528
2	3.22857528
3	3.05347846
4	3.03260442
5	3.04569945
6	3.11680294
7	3.27433981
8	3.12925526
9	3.13727640
10	3.09026193
11	3.13411163
12	3.18436971
13	3.24067144
14	3.12444391
15	3.13168222
16	3.29415848
17	3.18588124
18	3.01900726
19	3.16048131
20	3.18117387
21	3.14562181
22	3.34936209
23	3.11969660
24	3.35120954
25	3.20040951
26	3.34882536
27	3.11637411
28	3.25273563
29	3.15770759
30	3.41637204
31	3.41796872
32	2.98355664
33	3.12067853
34	3.30010417
35	3.18186280
36	2.96944252
37	3.16717736
38	3.30717507
39	3.10229621
40	3.09400340
41	3.26434049
42	3.07900118
43	3.22744968
44	3.17723174
45	3.27088880
46	3.18809317
47	3.11906688
48	3.16713319
49	3.38560665
50	3.16745618
51	3.09838283
52	3.16750920
53	3.19746634
54	3.10911445
55	3.17000613
56	3.06337068
57	3.19920436
58	3.11956414
59	3.25089135
60	3.14431436
61	3.04123957
62	3.31159753
63	3.15450383
64	3.19368324
