# batch	value
1	0.05791274
2	0.05899313
3	0.05511026
4	0.05379902
5	0.05618543
6	0.05657251
7	0.05992598
8	0.05436271
9	0.05537451
10	0.05470459
11	0.05474421
12	0.05822999
13	0.05848258
14	0.05334976
15	0.05633762
16	0.05772393
17	0.05682463
18	0.05680756
19	0.05944636
20	0.05631718
21	0.05464947
22	0.05793027
23	0.05682413
24	0.05873153
25	0.05670712
26	0.06061492
27	0.05410390
28	0.06077635
29	0.05710848
30	0.06023466
31	0.06394357
32	0.05302130
33	0.05479874
34	0.06055618
35	0.05834843
36	0.05140716
37	0.05535629
38	0.06146866
39	0.05508354
40	0.05813101
41	0.06161975
42	0.05703444
43	0.05612883
44	0.05681834
45	0.05867040
46	0.05787533
47	0.05543456
48	0.05479065
49	0.06093269
50	0.05738528
51	0.05453020
52	0.05997199
53	0.05746168
54	0.05621035
55	0.05486072
56	0.05582062
57	0.05507036
58	0.05534028
59	0.06127339
60	0.05516778
61	0.05564951
62	0.06180240
63	0.05867880
64	0.05689192
