# batch	value
1	1.43489793
2	1.63736206
3	1.58929017
4	1.63680939
5	1.63263652
6	1.39346807
7	1.71464516
8	1.39681557
9	1.11479701
10	1.59347768
11	1.29400865
12	1.74879724
13	1.41012984
14	1.38775606
15	1.46326145
16	1.64572746
17	1.52117980
18	1.60982079
19	1.60417047
20	1.48503942
21	1.42674245
22	1.54860473
23	1.51218651
24	1.60211532
25	1.49749600
26	1.80336785
27	1.44164209
28	1.67758047
29	1.31529001
30	1.65986055
31	1.43440297
32	1.77248777
33	1.39739428
34	1.56467939
35	1.39212903
36	1.61043688
37	1.69235505
38	1.53059684
39	1.28999409
40	1.60071715
41	1.72445786
42	1.38734860
43	1.29711205
44	1.74617966
45	1.53561488
46	1.85466881
47	1.63324970
48	1.42934070
49	1.78487125
50	1.44419515
51	1.44081168
52	1.61380536
53	1.37178223
54	1.69479684
55	1.47450817
56	1.49185788
57	1.35976757
58	1.70985120
59	1.65009902
60	1.39931296
61	1.73107336
62	1.64612711
63	1.43031022
64	1.62133743
