# batch	value
1	686.09008250
2	741.11360372
3	744.23809413
4	765.67950324
5	768.00634940
6	707.00591041
7	744.28180360
8	706.73922109
9	583.62789284
10	746.31605499
11	635.48683190
12	766.67753074
13	692.41465548
14	680.86005732
15	682.47236859
16	756.46782123
17	716.00112267
18	748.21775348
19	724.31524035
20	689.49117155
21	700.56916273
22	717.12182260
23	718.48156865
24	723.46122908
25	735.12602979
26	800.05142986
27	699.94345299
28	751.05497679
29	661.66932726
30	768.23059999
31	645.47120031
32	784.90915832
33	671.75523498
34	736.73718533
35	671.65527679
36	748.50975721
37	751.07929471
38	678.61182306
39	640.17432390
40	780.51739826
41	749.68753407
42	671.23442073
43	633.81452408
44	761.91881824
45	708.33106346
46	772.86427934
47	753.11219094
48	723.21796192
49	780.40058287
50	693.84566039
51	685.35557800
52	707.22472569
53	676.36056089
54	792.95491960
55	726.53993203
56	692.66950204
57	653.48350797
58	778.96751269
59	708.07386637
60	713.06308915
61	779.82594505
62	729.48336974
63	693.86139624
64	719.22885462
