# batch	value
1	0.47224449
2	0.49897598
3	0.47577836
4	0.46312201
5	0.48091934
6	0.48417673
7	0.48731263
8	0.49119476
9	0.46055401
10	0.46659321
11	0.48694405
12	0.48506897
13	0.45636338
14	0.46329886
15	0.47583160
16	0.49103094
17	0.45017328
18	0.49374568
19	0.48864329
20	0.48092339
21	0.44197104
22	0.47690216
23	0.45873747
24	0.46976872
25	0.47283368
26	0.49076616
27	0.45973474
28	0.51380330
29	0.47132335
30	0.47199239
31	0.50051590
32	0.47054646
33	0.48648924
34	0.49242147
35	0.47758240
36	0.46896499
37	0.46978220
38	0.49151819
39	0.46848907
40	0.49966047
41	0.50210727
42	0.47249056
43	0.49314254
44	0.47013382
45	0.50133042
46	0.50126051
47	0.45955446
48	0.46694780
49	0.48572233
50	0.48051817
51	0.46975191
52	0.49734357
53	0.47137499
54	0.46401994
55	0.45854068
56	0.49019133
57	0.47270706
58	0.46864638
59	0.50534916
60	0.44682153
61	0.48615398
62	0.49645036
63	0.45694941
64	0.50513665
