# batch	value
1	0.36070681
2	0.38331339
3	0.56463594
4	0.45830483
5	0.45476835
6	0.38648709
7	0.55447849
8	0.34210795
9	0.88262045
10	0.33131892
11	0.38035888
12	0.44855320
13	0.36491924
14	0.29055342
15	0.52802241
16	0.26362589
17	0.31640704
18	0.56111967
19	0.41896874
20	0.32305848
21	0.24366409
22	0.40986708
23	0.62302152
24	0.30786509
25	0.41508573
26	0.42526650
27	0.39484357
28	0.42372447
29	0.47623035
30	0.46764589
31	0.62960560
32	0.34831740
33	0.40667970
34	0.48462186
35	0.33716822
36	0.40517171
37	0.37084400
38	0.63471214
39	0.38244665
40	0.39735808
41	0.51994251
42	0.46974072
43	0.40769006
44	0.36235524
45	0.51287262
46	0.35079016
47	0.43347086
48	0.46777838
49	0.43997204
50	0.53349420
51	0.32562419
52	0.38018503
53	0.36301952
54	0.46490758
55	0.29048880
56	0.44017635
57	0.25986660
58	0.40262967
59	0.46178191
60	0.52955190
61	0.87890818
62	0.62813264
63	0.46360324
64	0.49466487
