# batch	value
1	81.16716622
2	77.94589146
3	93.77236906
4	84.84468417
5	83.61556025
6	78.63527856
7	90.21805364
8	77.98554329
9	111.32703031
10	78.96556323
11	81.87444369
12	85.76497751
13	79.51020778
14	77.40714143
15	88.76837459
16	69.68046145
17	74.85951850
18	89.90645429
19	85.20631982
20	74.76569473
21	71.86633313
22	84.79324543
23	96.40987871
24	75.90040073
25	87.20575545
26	80.18043048
27	81.58649518
28	82.27921918
29	87.63699279
30	85.90570315
31	96.44477742
32	77.74601015
33	83.42373147
34	85.39043820
35	77.31151660
36	83.51328251
37	80.19218745
38	94.47354558
39	80.00797850
40	78.88743128
41	92.38651488
42	84.51578697
43	78.90446008
44	81.11923599
45	90.57152812
46	76.52044579
47	84.29748816
48	84.84482331
49	84.60528883
50	92.76727722
51	79.52588082
52	80.26074136
53	81.43949628
54	86.87984031
55	74.64995117
56	82.35583164
57	70.84607476
58	85.31440695
59	86.92846730
60	91.74959192
61	111.79318858
62	96.54551194
63	82.91411418
64	89.88397484
