# batch	value
1	0.53438819
2	0.52246439
3	0.57097394
4	0.52303209
5	0.54443725
6	0.51129685
7	0.56917571
8	0.50497426
9	0.58102020
10	0.54197138
11	0.55000178
12	0.55564423
13	0.53617843
14	0.50310011
15	0.54252176
16	0.49829550
17	0.51208048
18	0.57576689
19	0.58308390
20	0.49936777
21	0.48493473
22	0.53947866
23	0.58175111
24	0.52342102
25	0.55799244
26	0.52960059
27	0.52612337
28	0.55649465
29	0.56660576
30	0.53550269
31	0.59499744
32	0.51117051
33	0.55528146
34	0.55852923
35	0.52950054
36	0.52577076
37	0.53245740
38	0.58831537
39	0.51985869
40	0.53024027
41	0.60509886
42	0.54331747
43	0.49427032
44	0.54877194
45	0.55990365
46	0.54361862
47	0.53574287
48	0.50482414
49	0.55339789
50	0.57114518
51	0.53926496
52	0.56929667
53	0.55403339
54	0.55313818
55	0.50970460
56	0.53692705
57	0.48623683
58	0.55340350
59	0.57519226
60	0.55489684
61	0.60849241
62	0.58855055
63	0.52640341
64	0.54831042
