# batch	value
1	333.46240366
2	421.24261518
3	373.48487506
4	330.28934499
5	348.04390385
6	350.66923786
7	379.04267637
8	351.96142808
9	370.33162263
10	318.04836145
11	365.25724936
12	404.02432665
13	364.33081002
14	312.25974891
15	371.14052870
16	346.49481454
17	322.75189153
18	377.65877176
19	378.44633312
20	336.83638423
21	328.50150544
22	354.75572477
23	361.76779463
24	363.07526823
25	368.29192789
26	355.97136280
27	349.48344288
28	391.43390955
29	331.34778017
30	350.33424387
31	330.81082687
32	350.96141143
33	342.73640915
34	387.41434148
35	342.44435527
36	324.75365148
37	350.55432920
38	385.51226813
39	370.61053397
40	332.54878755
41	379.84015551
42	351.87822887
43	340.68596995
44	353.96404077
45	400.66713147
46	396.66605738
47	364.96753519
48	371.99324317
49	350.88019178
50	346.49744733
51	338.84164182
52	372.04430834
53	335.91847177
54	399.66730458
55	331.02795222
56	356.54136564
57	329.85819545
58	344.54860742
59	351.79218811
60	341.39497236
61	397.99045496
62	412.19660206
63	329.00872249
64	369.54773395
