# mean	lower_ci	upper_ci
4.60020211	2.48915954	6.71124468
7.36604294	3.65367046	11.07841543
7.97450851	4.78716880	11.16184822
5.37109715	3.11366457	7.62852973
12.27708499	4.73875049	19.81541950
10.59063773	5.31050381	15.87077165
6.03535886	3.75488489	8.31583283
3.97305884	2.68517634	5.26094134
20.89049248	13.73837147	28.04261349
26.13866412	17.76147704	34.51585119
17.39932808	13.00940065	21.78925551
21.05068824	14.25887866	27.84249782
35.91498776	27.16056610	44.66940941
57.07823452	42.80094479	71.35552425
36.05908264	25.21094331	46.90722197
37.24318481	27.09756653	47.38880309
40.90419095	31.75765251	50.05072939
49.56594613	36.08020441	63.05168786
40.36286437	27.63731482	53.08841392
41.01009194	29.78086305	52.23932084
38.71572501	29.64586219	47.78558782
41.45232856	29.51957312	53.38508401
37.36859844	25.76036542	48.97683146
36.34417818	25.90490506	46.78345129
53.73244766	36.18388974	71.28100559
85.05671375	62.78512950	107.32829800
72.45344819	53.11034257	91.79655381
52.89792931	38.86071367	66.93514495
86.00603511	67.65159280	104.36047743
127.33894718	102.23319192	152.44470244
130.13901949	98.35697299	161.92106600
130.86405263	101.65735241	160.07075284
129.01808241	97.93872413	160.09744070
147.67986928	116.00295825	179.35678031
123.40949553	92.09950496	154.71948610
116.81095564	87.10340748	146.51850380
130.11319073	98.76006013	161.46632134
114.66756499	85.86423333	143.47089665
64.74356362	50.34681294	79.14031430
52.58852163	38.51630983	66.66073344
55.58726278	26.74283327	84.43169230
31.75904650	21.11330554	42.40478746
16.89139082	9.61123235	24.17154930
14.24162871	9.63339349	18.84986393
23.40013889	17.28781986	29.51245791
37.85141041	22.18414172	53.51867910
31.24197630	20.26822025	42.21573234
30.73751901	19.81258629	41.66245174
43.74255788	31.00027562	56.48484014
34.34415099	24.86582726	43.82247472
31.35409714	22.23430906	40.47388522
33.11464059	19.86496886	46.36431231
35.67760224	24.10290063	47.25230385
30.67674566	20.26927617	41.08421515
16.82492300	10.66101165	22.98883436
23.79261281	15.30537087	32.27985476
19.89977770	14.64916038	25.15039502
17.64436270	12.76860391	22.52012150
16.55480352	6.90960492	26.20000212
15.38560602	8.95370868	21.81750336
20.67575575	14.52866496	26.82284654
34.73685387	24.73714775	44.73655999
17.67355188	13.11189890	22.23520486
20.86517015	14.21312405	27.51721624
37.57928796	27.97687603	47.18169988
44.81635096	33.92862320	55.70407873
45.82424421	26.12409294	65.52439548
38.66022088	27.95381865	49.36662311
46.03480758	34.86911167	57.20050348
67.59180644	51.83810982	83.34550307
47.08164671	35.77282142	58.39047200
53.94742006	41.89646141	65.99837870
84.35195006	66.90309969	101.80080044
97.22437564	78.67305419	115.77569708
104.59730439	81.75457774	127.44003104
98.19620975	75.97814080	120.41427870
122.24788411	94.72454533	149.77122289
160.71415985	129.12103928	192.30728041
177.95383042	145.57498086	210.33267998
174.64709945	135.65555494	213.63864395
206.62931016	164.28112449	248.97749584
258.58559202	215.20791557	301.96326847
297.18540811	232.09634483	362.27447139
282.99206305	223.80088307	342.18324304
302.72023284	251.94506815	353.49539754
310.87973932	247.75136027	374.00811837
231.69311880	177.72282819	285.66340941
203.16160692	148.69727762	257.62593623
201.49291933	156.06782499	246.91801367
199.89339878	157.89123940	241.89555816
194.42211755	150.39207981	238.45215529
184.92793879	140.61556749	229.24031010
164.48169608	124.24836637	204.71502579
165.65854225	112.95698044	218.36010407
102.59320284	68.34009745	136.84630823
84.74828892	40.08434284	129.41223499
