# mean	lower_ci	upper_ci
117.01171875	100.85696732	133.16647018
118.89090402	103.51484025	134.26696778
120.00000000	103.67119875	136.32880125
107.57812500	91.81308773	123.34316227
113.88950893	100.83106518	126.94795267
117.01590402	102.46945256	131.56235547
127.76367188	112.52810482	142.99923893
120.17996652	105.15690803	135.20302501
103.45994825	93.18583152	113.73406499
106.12177861	97.04825018	115.19530705
109.44614955	99.36949069	119.52280842
109.64006696	100.86688607	118.41324786
85.66785753	77.99203650	93.34367856
82.73859929	76.51488670	88.96231188
92.97293527	84.84505274	101.10081780
89.61943330	82.42516936	96.81369724
69.40652121	62.96082982	75.85221260
82.31174099	74.92605403	89.69742796
87.32599432	78.90411322	95.74787541
88.95778050	81.46938516	96.44617584
75.80203976	69.16290075	82.44117876
90.50806615	82.72081008	98.29532223
103.22570008	93.82096251	112.63043765
102.32413095	93.05541833	111.59284356
71.90982845	65.77009472	78.04956219
70.44488227	64.38812665	76.50163788
79.59605824	72.69823966	86.49387681
80.27734473	72.69883407	87.85585538
56.81117366	51.95729406	61.66505326
57.33941172	52.85202966	61.82679378
61.97023823	56.48225347	67.45822299
60.54356776	56.13193942	64.95519610
51.29765742	47.41769296	55.17762188
62.45642541	57.86851757	67.04433325
68.92715195	62.07157063	75.78273327
69.86832991	64.71824882	75.01841101
59.54706914	55.45808318	63.63605511
79.12629363	72.40270141	85.84988584
82.34881330	75.57108280	89.12654380
87.55085735	80.60048650	94.50122819
89.76566402	82.83206743	96.69926062
108.77929688	99.36641679	118.19217696
113.68443080	103.28290602	124.08595558
113.43610491	102.43610130	124.43610853
92.21147017	83.24762595	101.17531439
102.51001928	93.38246667	111.63757188
106.20282062	97.18105765	115.22458359
97.71205357	88.23444335	107.18966380
79.81204343	73.66635509	85.95773176
110.78255729	100.14233301	121.42278157
104.54520089	96.12615376	112.96424803
103.55341924	95.33770647	111.76913200
90.23754566	81.11413339	99.36095793
110.05719866	100.12103376	119.99336356
116.24302455	104.65262931	127.83341979
112.38141741	102.40420471	122.35863011
112.64927455	102.41080975	122.88773935
119.14493709	107.28053289	131.00934130
122.31584821	110.73582937	133.89586706
128.26450893	116.96362926	139.56538860
100.14090402	91.63385937	108.64794867
105.19627833	96.32228979	114.07026687
100.96400670	91.27243336	110.65558003
105.72684152	96.07595970	115.37772334
83.53409286	76.90352399	90.16466174
91.44801488	83.64241887	99.25361088
99.08355317	91.45671127	106.71039506
97.79858813	88.22679924	107.37037702
72.76527184	66.23883251	79.29171117
79.05272462	71.27893177	86.82651747
80.39941504	73.08923813	87.70959195
75.75630424	70.55400768	80.95860080
61.48850173	57.40493399	65.57206947
62.23233453	57.68311085	66.78155821
75.41643903	68.94670362	81.88617444
67.34465693	61.43587874	73.25343513
51.45960449	47.83122849	55.08798048
51.89329225	49.14044326	54.64614125
57.71306330	53.91792305	61.50820356
58.35691796	53.47549341	63.23834250
47.21606563	44.03190541	50.40022585
47.88323292	45.40056655	50.36589929
52.78806750	49.14887843	56.42725657
55.25341501	51.46202994	59.04480009
48.91714350	45.34874128	52.48554572
66.54965640	60.08884557	73.01046722
66.37039718	61.55262373	71.18817064
65.11394367	60.09764468	70.13024267
52.71265499	49.35640185	56.06890814
64.36752213	59.22608926	69.50895499
65.83432480	60.84587478	70.82277481
68.13798018	61.89910542	74.37685494
60.20467813	54.55469573	65.85466054
75.98823052	69.63443478	82.34202626
92.00313359	83.72670965	100.27955752
86.94373985	81.01384113	92.87363858
