# mean	lower_ci	upper_ci
0.18958649	0.15571427	0.22345870
0.26347134	0.20982053	0.31712214
0.24680830	0.19730501	0.29631158
0.22361327	0.18084589	0.26638064
0.33567657	0.28696519	0.38438795
0.32610838	0.25134091	0.40087585
0.27784134	0.22719962	0.32848306
0.25133720	0.21534150	0.28733290
0.56007808	0.46735551	0.65280065
0.79961278	0.65467302	0.94455253
0.63017372	0.52369991	0.73664753
0.58581861	0.49868544	0.67295178
1.09057763	0.90941060	1.27174466
1.53829139	1.26334395	1.81323883
0.92976976	0.74754656	1.11199295
1.07374970	0.88908517	1.25841424
1.29419216	1.10932303	1.47906129
1.40781223	1.15630427	1.65932020
1.09174792	0.88285301	1.30064283
1.15090033	0.95037417	1.35142649
1.23497851	1.04008928	1.42986773
1.09911448	0.88568856	1.31254040
0.95655620	0.77795133	1.13516106
0.97625145	0.77023242	1.18227048
1.24128891	1.02055485	1.46202296
1.99010058	1.65313991	2.32706125
1.87738377	1.50673562	2.24803193
1.53212451	1.20431817	1.85993086
2.16423106	1.86638890	2.46207323
3.18797234	2.72419774	3.65174695
3.15943020	2.62017788	3.69868253
3.28849101	2.75988585	3.81709617
3.29547737	2.71474452	3.87621022
3.59777970	2.99589512	4.19966428
2.88780169	2.35195128	3.42365211
2.71307808	2.19320557	3.23295058
3.08164179	2.58749943	3.57578416
2.64180587	2.17178524	3.11182650
1.85088315	1.48758189	2.21418442
1.46114682	1.19162241	1.73067123
1.20469881	0.97668933	1.43270828
0.87901825	0.65689207	1.10114444
0.54614622	0.42682362	0.66546882
0.53238894	0.44345459	0.62132330
0.69031196	0.59172536	0.78889856
0.94733342	0.75972678	1.13494007
0.82686013	0.63416787	1.01955238
0.82089408	0.64060868	1.00117947
1.15027645	0.97813212	1.32242079
1.02114773	0.81223463	1.23006084
0.82047322	0.67139802	0.96954843
0.76190601	0.62688612	0.89692590
0.96804926	0.76449121	1.17160730
0.88466433	0.70238492	1.06694373
0.49088198	0.40957854	0.57218541
0.65569882	0.53014634	0.78125129
0.65103480	0.54845758	0.75361202
0.53196835	0.43782864	0.62610805
0.45018189	0.34346810	0.55689567
0.49874919	0.36102423	0.63647414
0.63512571	0.53897386	0.73127757
0.95914101	0.76913745	1.14914458
0.64508523	0.52702266	0.76314781
0.60748962	0.51622385	0.69875538
1.03104921	0.85953064	1.20256779
1.24551178	1.03250609	1.45851748
1.06324208	0.84476090	1.28172326
0.98443509	0.81975056	1.14911963
1.27372739	1.07971137	1.46774342
1.71084518	1.44595191	1.97573846
1.43076667	1.17653899	1.68499435
1.45468621	1.22428816	1.68508426
2.07073404	1.75144181	2.39002628
2.59657750	2.21087887	2.98227612
2.42183168	2.03560445	2.80805891
2.54297087	2.13340292	2.95253882
3.00132229	2.47176608	3.53087850
3.99646793	3.41015192	4.58278393
4.21464125	3.57651486	4.85276763
4.05015696	3.43841256	4.66190137
4.70345839	4.03438975	5.37252704
6.13115405	5.30533197	6.95697614
6.25364896	5.31102982	7.19626810
6.23930499	5.23032731	7.24828267
6.81150447	5.79225709	7.83075185
6.82238849	5.81213584	7.83264114
5.52202227	4.47151677	6.57252776
4.61195503	3.65331608	5.57059398
4.84498075	3.93487622	5.75508527
4.75534451	3.87219512	5.63849390
4.59837355	3.67588739	5.52085972
4.23174020	3.35765766	5.10582274
4.00180185	3.26627752	4.73732618
3.54803851	2.80827564	4.28780138
2.41391616	1.78997692	3.03785540
1.82514121	1.27136293	2.37891950
