# mean	lower_ci	upper_ci
0.03091662	0.01628500	0.04554823
0.05784963	0.03109005	0.08460921
0.05617827	0.03101430	0.08134224
0.04186875	0.02490707	0.05883043
0.07456603	0.05002678	0.09910528
0.09016335	0.04027327	0.14005343
0.05595463	0.03100315	0.08090611
0.03437693	0.02301778	0.04573607
0.20858317	0.14541021	0.27175613
0.36083937	0.24897880	0.47269993
0.23751216	0.16358470	0.31143963
0.20891961	0.14816696	0.26967227
0.54571475	0.39107276	0.70035674
0.93851684	0.69589430	1.18113938
0.47629006	0.32562413	0.62695598
0.55528950	0.40233689	0.70824211
0.69619383	0.53941408	0.85297359
0.83602099	0.61785882	1.05418317
0.58553945	0.40857493	0.76250398
0.60176822	0.43309069	0.77044575
0.65725919	0.49329292	0.82122546
0.60091336	0.41976595	0.78206077
0.49007393	0.34309545	0.63705241
0.52200737	0.35128340	0.69273133
0.68642503	0.49055326	0.88229680
1.32466433	1.01806717	1.63126149
1.24671395	0.90528703	1.58814087
0.96029512	0.66192920	1.25866105
1.45385975	1.18000317	1.72771632
2.42712112	1.98951025	2.86473199
2.40718762	1.89318650	2.92118873
2.51359185	2.00686689	3.02031682
2.52401655	1.96448649	3.08354660
2.81429278	2.23325311	3.39533244
2.17454823	1.66483856	2.68425790
2.01150948	1.51710350	2.50591546
2.32691096	1.85668325	2.79713867
1.94324592	1.50081089	2.38568094
1.24384562	0.91065033	1.57704090
0.88722666	0.64809102	1.12636229
0.67332052	0.47258411	0.87405693
0.45158053	0.25443990	0.64872115
0.19903975	0.10292440	0.29515510
0.16824463	0.10939290	0.22709636
0.26810109	0.19856146	0.33764072
0.47954251	0.32781625	0.63126877
0.40229480	0.24088119	0.56370840
0.39065547	0.24060641	0.54070453
0.59287425	0.45222914	0.73351937
0.54607066	0.37060133	0.72153999
0.37694557	0.25885013	0.49504102
0.32594910	0.21910512	0.43279308
0.48694231	0.31285825	0.66102637
0.43086476	0.27958900	0.58214052
0.15963497	0.10569439	0.21357554
0.27552026	0.18349967	0.36754085
0.23845489	0.16829927	0.30861051
0.19202293	0.12945859	0.25458728
0.15203524	0.06640418	0.23766630
0.19253622	0.07905574	0.30601670
0.23378704	0.16666452	0.30090956
0.48736492	0.33025110	0.64447874
0.24398934	0.15336563	0.33461304
0.22237689	0.16245519	0.28229859
0.51614679	0.37855935	0.65373422
0.69830596	0.52246032	0.87415159
0.58742094	0.40463894	0.77020295
0.49822531	0.36509918	0.63135144
0.69069303	0.52689297	0.85449309
1.07424757	0.84233677	1.30615836
0.84059946	0.61729551	1.06390341
0.85931452	0.66069687	1.05793218
1.38880402	1.09778778	1.67982025
1.84872362	1.49006908	2.20737817
1.72301103	1.36452996	2.08149211
1.80344431	1.42038448	2.18650413
2.24037601	1.73138333	2.74936870
3.17826977	2.61130129	3.74523825
3.39299493	2.77361234	4.01237753
3.24086572	2.64899311	3.83273833
3.87054574	3.21842262	4.52266885
5.24230147	4.42859949	6.05600346
5.39590367	4.46992714	6.32188020
5.37787715	4.38275401	6.37300028
5.94148890	4.93600843	6.94696937
5.98029038	4.98774753	6.97283322
4.73229810	3.70298689	5.76160931
3.85292163	2.91540968	4.79043358
4.00918957	3.11269816	4.90568099
3.97971575	3.11812660	4.84130491
3.83038175	2.92981087	4.73095262
3.50276299	2.65449362	4.35103237
3.23547299	2.52087873	3.95006725
2.84771131	2.13565806	3.55976457
1.79627742	1.19884762	2.39370722
1.24636447	0.71609661	1.77663233
