# mean	lower_ci	upper_ci
38.18665891	32.64360283	43.72971499
42.06492264	35.19773717	48.93210810
42.89383358	36.54937929	49.23828788
38.32950519	32.99929152	43.65971886
52.19827574	40.84629403	63.55025745
48.89131918	40.62164625	57.16099212
45.52576370	39.78041959	51.27110780
39.80681802	35.70078893	43.91284712
61.97701096	51.99304003	71.96098188
63.95771312	53.62417443	74.29125182
58.04609007	51.76290659	64.32927356
60.77568074	51.21727746	70.33408402
79.19206064	69.17899527	89.20512600
100.60352672	84.04980534	117.15724809
77.10102799	62.74849907	91.45355691
77.90708773	65.49838821	90.31578725
79.49174861	68.80549163	90.17800559
88.64663024	73.29837707	103.99488342
80.65780597	65.56721537	95.74839658
85.45298580	70.85305395	100.05291765
78.58525640	67.77050600	89.40000681
81.71007514	68.09847451	95.32167576
79.63917827	66.03878845	93.23956810
77.19979191	64.27535654	90.12422729
98.25529590	77.30216108	119.20843072
129.20714478	104.39355031	154.02073926
114.52305954	93.40015315	135.64596592
92.41226806	77.05249997	107.77203615
130.39319085	108.75627704	152.03010466
169.89451591	143.01899884	196.77003297
173.06646955	139.40789750	206.72504159
173.90203194	143.44816710	204.35589678
169.82115370	136.96054144	202.68176596
191.00127639	157.45209689	224.55045590
167.52892797	134.34974187	200.70811407
163.39633923	132.43088503	194.36179343
174.15138122	141.31885658	206.98390587
160.01546318	128.80393287	191.22699348
105.28885341	89.85771173	120.71999510
93.91049038	78.51080048	109.31018027
97.26201025	65.28573978	129.23828071
74.22841971	62.12683379	86.33000564
55.38182520	45.76566891	64.99798150
56.52192150	49.43999978	63.60384323
65.59462253	57.04084167	74.14840340
80.05353514	61.39355467	98.71351562
73.57121482	60.37304469	86.76938495
74.60173249	60.30590541	88.89755957
86.49527494	70.96387011	102.02667976
73.97325447	62.98396093	84.96254801
75.77480114	63.92346827	87.62613401
77.45448998	59.24866455	95.66031541
78.20935576	64.33998853	92.07872298
73.58397554	61.44862585	85.71932524
57.68858478	47.86835335	67.50881621
64.09856830	52.86070218	75.33643443
63.00085360	55.69855705	70.30315016
58.10829463	49.33476383	66.88182543
54.62577034	42.82876247	66.42277821
53.94563154	45.29482273	62.59644035
61.58294480	53.20994804	69.95594156
78.39357061	66.50504036	90.28210085
56.48835661	49.97266191	63.00405132
60.86899385	51.20069943	70.53728828
80.21235500	67.95712614	92.46758387
86.03512100	72.72952480	99.34071719
88.59661426	64.75336662	112.43986190
79.98693249	66.59675142	93.37711356
88.45086389	75.00222993	101.89949785
111.63989700	93.69360500	129.58618901
89.10332829	76.40738926	101.79926731
96.78718885	82.99580769	110.57857002
128.83791454	109.58603128	148.08979779
140.96821871	121.12344546	160.81299197
150.45652326	125.37254075	175.54050576
143.22615907	119.56603663	166.88628151
165.10424279	135.83319024	194.37529535
204.23375558	171.46101909	237.00649207
223.42586708	189.87728161	256.97445256
217.86788144	176.81252723	258.92323564
252.77421431	207.68123436	297.86719427
302.20763281	257.41867678	346.99658884
343.70499950	275.49282796	411.91717104
328.94720370	268.33327330	389.56113410
349.47551134	296.80603818	402.14498451
355.37541947	290.69536833	420.05547061
274.42071926	219.39901521	329.44242330
246.32965364	190.48102260	302.17828468
246.69440760	200.24820144	293.14061376
244.79856093	201.76048194	287.83663991
239.48662126	194.39781384	284.57542869
226.29595822	180.50589445	272.08602198
207.15358486	165.82015883	248.48701089
209.96885831	155.27999235	264.65772427
146.14808027	110.71713469	181.57902585
129.30317559	82.83282937	175.77352181
