# mean	lower_ci	upper_ci
0.19637574	0.16727177	0.22547971
0.22366667	0.18763087	0.25970247
0.21204962	0.17782633	0.24627292
0.19963024	0.17155128	0.22770919
0.28049473	0.24567027	0.31531920
0.25125103	0.21687886	0.28562320
0.23618310	0.20435391	0.26801229
0.23633611	0.20587978	0.26679244
0.39870423	0.35525442	0.44215404
0.47164385	0.42683092	0.51645679
0.40755271	0.36671714	0.44838828
0.42556453	0.38579324	0.46533581
0.58053904	0.53909990	0.62197819
0.62175240	0.57418920	0.66931560
0.48893906	0.44575351	0.53212461
0.53220778	0.48863745	0.57577811
0.65588800	0.61083336	0.70094264
0.57856408	0.53347544	0.62365273
0.55694318	0.50809012	0.60579624
0.57763079	0.53410134	0.62116025
0.60459985	0.56113449	0.64806521
0.50984286	0.46524643	0.55443929
0.48755433	0.44273111	0.53237755
0.47962771	0.43113323	0.52812218
0.62135718	0.57878789	0.66392646
0.69421940	0.65021974	0.73821907
0.64619065	0.59898530	0.69339600
0.61811266	0.57192626	0.66429906
0.75686476	0.72031117	0.79341836
0.80268197	0.75975043	0.84561350
0.80470796	0.76305959	0.84635633
0.78931441	0.74939940	0.82922942
0.81908053	0.78023168	0.85792939
0.81784221	0.77577034	0.85991408
0.75372288	0.70741839	0.80002737
0.73901309	0.69505199	0.78297418
0.80843622	0.76545444	0.85141801
0.70500389	0.65642603	0.75358174
0.64172158	0.59696072	0.68648244
0.60840421	0.56037562	0.65643279
0.56972300	0.52247979	0.61696622
0.44511476	0.40107299	0.48915652
0.36923847	0.33246393	0.40601301
0.38702208	0.34673399	0.42731018
0.46373661	0.42033488	0.50713833
0.49116419	0.44205154	0.54027683
0.45528204	0.40712470	0.50343939
0.45131809	0.40623736	0.49639882
0.59126680	0.54952234	0.63301126
0.48383320	0.43478379	0.53288260
0.48062443	0.43690971	0.52433914
0.46078514	0.41909085	0.50247943
0.51377827	0.46619369	0.56136284
0.46181984	0.41655236	0.50708732
0.37149328	0.33087016	0.41211640
0.39888139	0.35530192	0.44246087
0.43746497	0.39362201	0.48130794
0.34721247	0.30984814	0.38457681
0.32891987	0.29060296	0.36723678
0.31371686	0.27776881	0.34966491
0.46879772	0.42652078	0.51107466
0.49384784	0.44934922	0.53834645
0.41872145	0.37704859	0.46039431
0.41926716	0.37766155	0.46087278
0.57387608	0.52604935	0.62170280
0.56072025	0.51160910	0.60983140
0.50094376	0.45461050	0.54727701
0.50872197	0.46161590	0.55582805
0.64128840	0.59894598	0.68363082
0.65410756	0.60869410	0.69952103
0.61631785	0.56972974	0.66290597
0.64594505	0.60027305	0.69161706
0.71729170	0.67801707	0.75656633
0.79563886	0.75174199	0.83953572
0.71774025	0.67448268	0.76099783
0.76734863	0.72521766	0.80947959
0.80996422	0.77374133	0.84618710
0.87891244	0.84030762	0.91751725
0.83534916	0.79990473	0.87079360
0.87014864	0.83117458	0.90912271
0.87948252	0.84289251	0.91607253
0.93177110	0.89727373	0.96626848
0.89633442	0.85936904	0.93329981
0.89988817	0.86386352	0.93591281
0.90493048	0.86931647	0.94054450
0.88628995	0.84534735	0.92723256
0.81905104	0.77763770	0.86046437
0.80594371	0.76262443	0.84926300
0.88922488	0.85713024	0.92131951
0.83492508	0.79227219	0.87757798
0.81300693	0.76902289	0.85699096
0.76358616	0.72027290	0.80689943
0.81665685	0.77124163	0.86207207
0.72419890	0.67377836	0.77461944
0.64539098	0.59303729	0.69774466
0.61099600	0.56564348	0.65634852
