# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.08769326	-0.08418553	0.25957205
0.19154184	-0.00642405	0.38950773
0.18898830	-0.16435742	0.54233402
0.00000000	0.00000000	0.00000000
0.21330308	-0.10798715	0.53459330
0.20606472	-0.09985197	0.51198141
0.16503880	-0.15843724	0.48851484
0.73610643	-0.25524856	1.72746141
68.95068727	58.05877582	79.84259872
96.16935403	78.37359758	113.96511047
67.55739928	54.42794707	80.68685149
30.30804656	21.90292237	38.71317076
17.02104515	8.62200023	25.42009007
8.49188368	2.85517908	14.12858828
4.69692677	1.32674633	8.06710720
6.94601345	2.48357485	11.40845206
322.99312936	286.84684723	359.13941149
415.25045670	371.12027370	459.38063970
458.93410671	407.53179823	510.33641518
340.97351328	284.72897346	397.21805310
173.43971222	128.79960507	218.07981937
74.08650142	37.72595845	110.44704439
17.73339480	4.41136659	31.05542300
24.47648162	13.34346773	35.60949550
356.45142740	316.18693404	396.71592076
422.03984201	372.90104060	471.17864343
419.04078040	374.61217784	463.46938296
315.20750386	268.46085446	361.95415326
157.27237092	114.54506777	199.99967407
34.94505742	23.56390044	46.32621439
17.65063269	3.68553408	31.61573130
5.21827555	0.40718005	10.02937105
343.90684176	304.67865252	383.13503101
376.13928974	337.83991558	414.43866389
489.98368004	420.36127776	559.60608231
634.11869876	549.45021138	718.78718614
566.30623361	488.77441147	643.83805575
222.43609331	178.75786025	266.11432636
92.59551438	61.46886728	123.72216148
36.07088556	18.75756634	53.38420479
48.38966241	30.45841916	66.32090565
74.60261647	58.68267798	90.52255496
71.30426860	55.91647508	86.69206212
57.33465587	43.62287217	71.04643958
52.64664276	40.95856772	64.33471780
59.19816471	46.11424484	72.28208457
46.31283187	35.11227460	57.51338913
25.28671895	14.32919409	36.24424380
62.00039058	47.67466194	76.32611922
89.96620305	74.26827675	105.66412935
76.68325246	62.92013730	90.44636761
54.62357956	41.93970679	67.30745234
27.93527947	18.96618593	36.90437302
12.69107344	5.20625160	20.17589529
4.77147980	1.38650985	8.15644975
3.01820799	-0.82377460	6.86019058
51.87758966	38.53276533	65.22241400
78.98016746	64.60806040	93.35227453
80.99520739	65.97200988	96.01840491
57.35499073	44.33537918	70.37460228
42.84464844	33.05385522	52.63544165
28.26139792	19.67475556	36.84804027
13.50072191	6.68775250	20.31369132
17.82195033	11.15451032	24.48939033
293.49304008	257.39781954	329.58826061
274.48376923	237.74774584	311.21979262
188.70089911	152.32193551	225.07986271
72.17843730	47.17715430	97.17972029
19.37088406	-3.27910368	42.02087180
5.65919517	-0.11465548	11.43304582
2.04036054	-0.64480939	4.72553046
8.85916662	3.81699322	13.90134003
333.08138416	293.31566340	372.84710492
410.82842061	364.83792720	456.81891403
499.36205238	437.85660758	560.86749718
482.64234898	422.69564713	542.58905083
278.02332047	227.54328122	328.50335971
107.58373888	79.29851665	135.86896111
37.76577551	24.67786664	50.85368439
12.50520511	5.52859952	19.48181070
334.53762828	294.72818580	374.34707075
315.26401900	274.42912806	356.09890993
389.98234342	338.49793614	441.46675070
658.30907719	563.72460909	752.89354528
634.40447279	537.96022134	730.84872424
207.37704124	171.67057224	243.08351024
140.41769332	99.13545762	181.69992903
84.68706718	48.97820341	120.39593094
401.46754806	354.22209911	448.71299700
383.50023425	328.24562394	438.75484455
487.07460443	426.99334636	547.15586250
549.13934796	466.20818970	632.07050622
433.17552580	354.10804379	512.24300781
174.58614941	135.71551098	213.45678784
94.31486679	60.10723373	128.52249985
