# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
12.30468750	3.40717792	21.20219708
20.50781250	9.72728647	31.28833853
19.33593750	8.73806314	29.93381186
0.00000000	0.00000000	0.00000000
15.82031250	6.22206832	25.41855668
23.43750000	11.70796854	35.16703146
29.29687500	16.22887160	42.36487840
73.82812500	55.45425539	92.20199461
147.89062500	134.04664008	161.73460992
142.79296875	130.43390106	155.15203644
121.28906250	106.25898944	136.31913556
48.04687500	32.17678885	63.91696115
57.53906250	42.52403216	72.55409284
86.77734375	69.32190584	104.23278166
83.82254464	66.71029647	100.93479281
171.50390625	157.46026378	185.54754872
113.60072545	106.94469875	120.25675214
107.48465402	99.56571462	115.40359341
99.68470982	86.89237302	112.47704663
14.17968750	5.40933002	22.95004498
44.35546875	29.72978295	58.98115455
67.50000000	51.10295869	83.89704131
63.10546875	47.00248554	79.20845196
165.52734375	152.93621753	178.11846997
117.19168527	109.04132092	125.34204962
108.19754464	99.64432653	116.75076276
107.31166295	94.45446300	120.16886289
3.51562500	-1.33756205	8.36881205
66.79687500	50.17004217	83.42370783
100.07812500	84.02565038	116.13059962
116.71875000	100.86264762	132.57485238
158.78906250	143.01250144	174.56562356
112.58370536	105.90510529	119.26230543
103.53655134	96.52221050	110.55089218
94.32769379	86.64763604	102.00775154
50.03906250	36.08873921	63.98938579
57.65625000	41.71236403	73.60013597
79.51171875	62.87057939	96.15285811
93.39843750	76.63590832	110.16096668
3.51562500	-1.33756205	8.36881205
133.30078125	116.88978995	149.71177255
139.83816964	124.71665425	154.95968503
141.62109375	127.13825950	156.10392800
107.22656250	88.09428885	126.35883615
130.37109375	114.10438552	146.63780198
120.65290179	105.82711306	135.47869051
87.65625000	72.14596485	103.16653515
43.94531250	28.69083412	59.19979088
131.83593750	116.68474435	146.98713065
148.03710938	136.25641816	159.81780059
133.71930804	119.94502222	147.49359385
79.10156250	61.06914418	97.13398082
58.12500000	42.76175142	73.48824858
68.20312500	51.23756209	85.16868791
72.89062500	55.42509668	90.35615332
39.25781250	24.58633918	53.92928582
134.53125000	118.63997599	150.42252401
132.89062500	119.57923132	146.20201868
138.51562500	123.75161689	153.27963311
99.31640625	80.59046291	118.04234959
118.06640625	100.59835996	135.53445254
79.92187500	63.67678232	96.16696768
76.99218750	59.73680855	94.24756645
164.64843750	152.79954420	176.49733080
108.21010045	98.03589378	118.38430712
104.43638393	90.16448153	118.70828633
82.29910714	65.45545557	99.14275872
0.00000000	0.00000000	0.00000000
66.44531250	50.04200219	82.84862281
73.30078125	56.62064624	89.98091626
94.57031250	77.43572585	111.70489915
162.59765625	149.54645163	175.64886087
121.39090402	113.26327825	129.51852979
95.41852679	88.86630122	101.97075235
113.82114955	102.82788586	124.81441325
33.98437500	20.45408748	47.51466252
69.84375000	53.15840772	86.52909228
108.49609375	92.70742715	124.28476035
115.17020089	98.61057010	131.72983169
164.35546875	149.03551966	179.67541784
118.89369420	111.19355713	126.59383126
98.13070718	91.98191996	104.27949441
99.85491071	93.69719696	106.01262447
78.51562500	62.65601242	94.37523758
79.46149554	62.75692967	96.16606140
90.17578125	73.16872086	107.18284164
90.64453125	74.83941759	106.44964491
167.87109375	152.14769462	183.59449288
117.32979911	108.88790307	125.77169515
102.11368709	94.06483708	110.16253711
101.62540584	90.88886765	112.36194404
52.38281250	37.62056301	67.14506199
49.16015625	33.79361266	64.52669984
68.70535714	52.78384026	84.62687402
70.54687500	54.15515471	86.93859529
