# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.01589720	0.00935708	0.02243732
0.03494111	0.02339999	0.04648223
0.03162272	0.02205364	0.04119180
0.00142224	-0.00015603	0.00300050
0.02098359	0.01100844	0.03095875
0.03410115	0.02256884	0.04563346
0.03634472	0.02532230	0.04736715
0.10195554	0.07611786	0.12779322
1.05218018	0.97612483	1.12823553
1.23155765	1.10936502	1.35375029
1.06371013	0.92597341	1.20144684
0.51199784	0.41290713	0.61108856
0.31478755	0.23287388	0.39670122
0.23115712	0.16156624	0.30074800
0.15066538	0.10249468	0.19883607
0.22940481	0.19363326	0.26517635
2.33304509	2.21146961	2.45462057
3.72157108	3.51396461	3.92917755
4.11614139	3.80915456	4.42312822
2.59632661	2.28802613	2.90462708
1.49418953	1.23180033	1.75657872
0.70774508	0.51932470	0.89616547
0.28426614	0.16328952	0.40524276
0.38270619	0.30655649	0.45885588
2.41167292	2.28180721	2.54153862
3.78023236	3.56806663	3.99239808
3.95669743	3.67521758	4.23817727
2.54220903	2.26286654	2.82155152
1.26865029	1.02670877	1.51059180
0.73484402	0.54150660	0.92818143
0.32121981	0.23374591	0.40869371
0.18006132	0.13160192	0.22852071
2.52603856	2.39701824	2.65505887
3.95353190	3.74187348	4.16519033
5.12130241	4.88377421	5.35883061
4.42068885	4.14662934	4.69474837
3.58025773	3.24328546	3.91723000
2.43342188	2.11794339	2.74890036
1.27168170	1.01975196	1.52361144
0.41335374	0.26847110	0.55823637
0.83160054	0.73337299	0.92982810
1.09808682	0.98811092	1.20806272
1.14690964	1.02589451	1.26792478
0.90633614	0.81372927	0.99894301
0.90764011	0.81035259	1.00492763
0.91216678	0.78313975	1.04119381
0.86942304	0.71818263	1.02066344
0.37192591	0.27687029	0.46698153
0.96664072	0.88265212	1.05062931
1.31002438	1.19187991	1.42816885
1.28845886	1.15136448	1.42555324
0.80536332	0.70788293	0.90284372
0.53083429	0.43000531	0.63166327
0.28190615	0.19486412	0.36894817
0.15275032	0.10041352	0.20508712
0.07109787	0.04170400	0.10049174
0.87776844	0.79598651	0.95955038
1.15504145	1.03505025	1.27503266
1.21941834	1.08571962	1.35311706
0.86879335	0.75702547	0.98056123
0.72063859	0.62058239	0.82069479
0.58906696	0.47061683	0.70751709
0.32214990	0.22818254	0.41611727
0.46057649	0.36894379	0.55220918
2.12766441	1.99161095	2.26371787
2.65546041	2.37858887	2.93233196
2.01250120	1.69394390	2.33105850
0.72541017	0.53457494	0.91624540
0.22212265	0.13654844	0.30769687
0.15238695	0.09570709	0.20906681
0.13163835	0.07965771	0.18361899
0.26499758	0.22708900	0.30290616
2.40941189	2.27074285	2.54808092
4.04742613	3.82988856	4.26496369
4.79309463	4.55043502	5.03575425
3.28250313	3.04003767	3.52496859
2.29703945	2.00615572	2.58792318
1.51341027	1.22736921	1.79945134
0.72976809	0.53605159	0.92348459
0.32600043	0.23057351	0.42142734
2.41450946	2.28471280	2.54430613
3.93814397	3.71023641	4.16605153
5.13034389	4.89632419	5.36436358
4.53123291	4.22680725	4.83565856
3.87015904	3.51484833	4.22546976
2.76894131	2.40951248	3.12837014
1.59137753	1.30232132	1.88043374
0.83256307	0.64525549	1.01987066
2.69195395	2.51861018	2.86529772
4.30612203	4.06931365	4.54293041
4.73153911	4.47888276	4.98419546
3.55382178	3.27770570	3.82993787
2.95319923	2.58728295	3.31911551
1.91222739	1.60289409	2.22156068
0.98812081	0.75974335	1.21649827
