# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00038975	-0.00037416	0.00115365
0.00089497	0.00000439	0.00178555
0.00083995	-0.00073048	0.00241037
0.00000000	0.00000000	0.00000000
0.00128767	-0.00077375	0.00334908
0.00105493	-0.00043330	0.00254316
0.00073351	-0.00070417	0.00217118
0.00254992	-0.00125057	0.00635041
0.34910302	0.29781380	0.40039224
0.57126667	0.47650847	0.66602486
0.49179653	0.39461830	0.58897476
0.16654025	0.11652502	0.21655548
0.09081624	0.05206741	0.12956508
0.05710516	0.01921623	0.09499410
0.03665341	0.01017106	0.06313577
0.03364017	0.02022010	0.04706024
1.45030939	1.33832007	1.56229871
2.87380941	2.67594491	3.07167391
3.31175401	3.02837774	3.59513028
1.97260297	1.69637122	2.24883471
0.96204480	0.74150883	1.18258077
0.39134893	0.24510251	0.53759535
0.13117875	0.04009051	0.22226700
0.11799886	0.06693456	0.16906317
1.54166559	1.42092507	1.66240612
2.92568333	2.72628966	3.12507700
3.15990328	2.90034265	3.41946390
1.87040264	1.61997614	2.12082915
0.75669361	0.55471476	0.95867245
0.40196643	0.24914019	0.55479267
0.10979429	0.04995268	0.16963590
0.03951746	0.01609176	0.06294317
1.63467559	1.51500426	1.75434692
3.06649343	2.86342533	3.26956154
4.24021059	4.01228255	4.46813863
3.65852217	3.39872178	3.91832256
2.81713536	2.50664368	3.12762704
1.77586955	1.49465241	2.05708670
0.79063752	0.58081545	1.00045959
0.22277156	0.12291336	0.32262976
0.20952247	0.13478587	0.28425907
0.44371696	0.35867502	0.52875890
0.46630252	0.37188084	0.56072420
0.28296943	0.21560471	0.35033414
0.30062237	0.23414345	0.36710129
0.40085397	0.31506081	0.48664713
0.41413067	0.31426380	0.51399754
0.12989438	0.07919388	0.18059488
0.28847836	0.22933996	0.34761675
0.59829485	0.50803297	0.68855673
0.61620310	0.50946368	0.72294253
0.26617870	0.20547159	0.32688581
0.17101902	0.12005000	0.22198805
0.09229265	0.03880593	0.14577937
0.03353398	0.00990850	0.05715947
0.00744650	-0.00119602	0.01608901
0.24244074	0.18950938	0.29537209
0.50875112	0.41515140	0.60235084
0.56537003	0.46305463	0.66768543
0.30344599	0.22968767	0.37720431
0.23438126	0.18047008	0.28829243
0.21914420	0.14574929	0.29253912
0.10726876	0.05153308	0.16300443
0.12640254	0.06328298	0.18952210
1.29468493	1.17384620	1.41552367
1.94587570	1.70292314	2.18882826
1.42881207	1.15854411	1.69908002
0.42281583	0.27954030	0.56609136
0.07034094	0.01248830	0.12819357
0.04138168	0.00161147	0.08115188
0.02256513	-0.01280389	0.05793416
0.06563477	0.04801988	0.08324966
1.53815848	1.41166693	1.66465003
3.16166346	2.95120976	3.37211716
3.93854126	3.70610384	4.17097869
2.58275541	2.35853322	2.80697760
1.60307271	1.34474108	1.86140434
0.99571162	0.75382967	1.23759358
0.41143637	0.26025075	0.56262200
0.10686891	0.04012568	0.17361214
1.53213227	1.41148934	1.65277521
3.05687763	2.83966953	3.27408573
4.24088877	4.01684258	4.46493496
3.76789368	3.48449898	4.05128838
3.09434126	2.76059308	3.42808944
2.08745383	1.75905026	2.41585741
1.09556692	0.85255864	1.33857520
0.44185236	0.30227702	0.58142769
1.81955430	1.65855920	1.98054941
3.41991455	3.19198068	3.64784841
3.88959386	3.64968135	4.12950638
2.86720421	2.61212830	3.12228013
2.25933660	1.92673031	2.59194289
1.36622135	1.10143764	1.63100506
0.62150998	0.43832181	0.80469814
