# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
6.30575517	3.57294254	9.03856781
11.63303650	7.56386144	15.70221155
12.00023869	8.31174261	15.68873476
0.64000598	-0.07021462	1.35022658
6.83710255	4.11142008	9.56278502
11.82155141	8.05409958	15.58900324
13.08688086	8.96420086	17.20956086
14.21762218	6.66104208	21.77420228
224.25486091	203.90854969	244.60117214
231.17807159	202.69065625	259.66548694
165.15716175	143.93013843	186.38418507
109.52574513	89.29474311	129.75674716
64.21943977	46.06637803	82.37250150
46.27496708	35.59193484	56.95799933
29.69041854	22.92707486	36.45376222
48.83010936	33.78202838	63.87819034
534.82132662	483.67989429	585.96275894
546.36190318	491.00104175	601.72276460
573.03009413	513.02858274	633.03160553
460.21695721	395.32180345	525.11211096
276.04586518	220.83373515	331.25799520
134.30296110	87.32908108	181.27684111
54.06466793	34.23387248	73.89546339
81.86988675	59.69059451	104.04917898
576.26767421	520.73609043	631.79925798
555.05386871	493.28364509	616.82409234
530.90875749	477.57988292	584.23763206
434.92673352	380.09990384	489.75356320
272.67280009	218.03454410	327.31105607
80.06596166	64.27172475	95.86019858
54.07499368	35.79495814	72.35502922
22.07756606	9.72603408	34.42909803
556.29158246	499.43427078	613.14889414
496.64832917	446.77387699	546.52278136
599.54176339	516.39078332	682.69274345
772.90255042	674.62602091	871.17907992
728.56118773	639.41056311	817.71181234
315.67157173	263.73407742	367.60906603
161.77068901	122.47688957	201.06448844
76.50273319	49.58673284	103.41873354
244.43431782	215.93278004	272.93585559
211.21501816	187.52670247	234.90333385
211.78785451	186.45774621	237.11796281
223.97323573	203.37293536	244.57353609
202.99266463	178.76610679	227.21922246
158.55755869	133.38032383	183.73479356
119.65057572	100.60302132	138.69813012
86.13755667	64.28240076	107.99271259
242.83629571	215.97011761	269.70247382
220.15933810	194.48149305	245.83718314
190.99020685	170.26863869	211.71177502
185.50007744	162.57594042	208.42421445
107.66321896	88.07360809	127.25282984
51.60108301	38.10196393	65.10020208
29.74828867	21.99901389	37.49756345
13.12948650	2.11999189	24.13898111
218.37866355	194.74087100	242.01645610
210.94883645	186.87424018	235.02343273
200.12511122	178.78683697	221.46338546
197.33020984	175.23850349	219.42191620
150.41539190	129.03498516	171.79579864
94.74371973	78.34445412	111.14298533
59.52469879	45.11391173	73.93548584
104.94070271	88.09149795	121.78990747
490.83679118	440.92033614	540.75324622
383.48472797	338.72149980	428.24795615
273.46611509	229.41426374	317.51796643
134.79689510	101.01860335	168.57518686
59.12764040	28.28394856	89.97133223
30.48737108	22.11112911	38.86361304
23.00326823	17.69227621	28.31426025
39.03655250	25.20535817	52.86774683
544.93954221	489.13011636	600.74896806
536.53317717	477.67336052	595.39299382
613.87982684	539.82189840	687.93775527
615.89684553	545.56005636	686.23363469
408.99611530	347.62787715	470.36435346
178.51905756	143.18049833	213.85761678
80.66369843	63.12359685	98.20380001
44.53302235	28.71046048	60.35558422
545.32968377	487.73221888	602.92714867
415.85248574	363.35476338	468.35020810
480.45459877	416.82839401	544.08080352
792.70215617	683.19660555	902.20770680
800.63313334	691.38148908	909.88477761
286.89153826	245.57043436	328.21264215
208.55082274	157.05548115	260.04616433
159.74414355	109.65105771	209.83722939
620.98251493	558.25384711	683.71118276
494.07567783	424.66031318	563.49104248
601.46546531	528.60373591	674.32719471
685.24852960	588.46917669	782.02788252
568.53827604	478.31758669	658.75896540
252.02630207	205.50817237	298.54443178
157.24365040	113.25294195	201.23435884
