# mean	lower_ci	upper_ci
0.00260417	-0.00250000	0.00770833
0.00000000	0.00000000	0.00000000
0.00546875	-0.00275486	0.01369236
0.00976563	-0.00598887	0.02552012
0.01425781	-0.00009273	0.02860835
0.01236979	-0.00006237	0.02480195
0.00528274	-0.00101719	0.01158267
0.00520833	-0.00500000	0.01541667
0.00502232	-0.00292372	0.01296836
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00976563	-0.00937500	0.02890625
0.00520833	-0.00500000	0.01541667
0.00574777	0.00044280	0.01105273
0.01016865	0.00072772	0.01960959
0.00334821	-0.00041069	0.00710712
0.03817669	0.00211564	0.07423774
0.03002925	0.01101957	0.04903894
0.11473930	0.05417662	0.17530197
0.11919500	0.06348024	0.17490976
0.24537110	0.12511387	0.36562833
0.12498073	0.07860234	0.17135911
0.08836045	0.04061823	0.13610266
0.02672371	-0.00001181	0.05345923
0.00195313	-0.00187500	0.00578125
0.01480035	-0.00513233	0.03473302
0.03060486	0.00596094	0.05524878
0.09452982	0.04795780	0.14110184
0.14685119	0.08692155	0.20678083
0.09894719	0.06057157	0.13732281
0.07002227	0.02761217	0.11243237
0.03813194	0.01362217	0.06264172
0.08634696	0.03949207	0.13320186
0.30977460	0.19922534	0.42032386
0.49498336	0.36758521	0.62238150
0.76025900	0.60280857	0.91770942
1.11104770	0.92150645	1.30058894
0.73025438	0.61004139	0.85046737
0.40792957	0.32085561	0.49500353
0.21542856	0.14205475	0.28880237
0.10405506	0.05384858	0.15426154
0.16979167	0.04869254	0.29089080
0.15485491	0.05220526	0.25750457
0.16470170	0.08767887	0.24172454
0.18226715	0.10043334	0.26410096
0.22461276	0.12622109	0.32300443
0.23571136	0.15419930	0.31722342
0.21753186	0.12293129	0.31213244
0.07246094	0.03761680	0.10730508
0.03641239	0.00944295	0.06338184
0.04052523	0.01077543	0.07027503
0.06759363	0.02843480	0.10675246
0.08777282	0.03846900	0.13707664
0.08838356	0.03548925	0.14127786
0.03656064	0.00815931	0.06496197
0.03072917	0.00863718	0.05282116
0.02952009	0.00541082	0.05362936
0.07155331	0.02625592	0.11685069
0.07913876	0.03426955	0.12400798
0.09713542	0.03804523	0.15622560
0.07405839	0.04304065	0.10507612
0.11117001	0.05745955	0.16488048
0.05788690	0.02349856	0.09227525
0.02659350	0.00992659	0.04326042
0.02099454	0.00471312	0.03727597
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.02343750	-0.02250000	0.06937500
0.01184304	-0.00599148	0.02967756
0.01571181	-0.00134249	0.03276610
0.00768229	-0.00114047	0.01650505
0.04981117	0.01757466	0.08204768
0.07916654	0.02572779	0.13260529
0.09536304	0.04167024	0.14905583
0.23961244	0.15735951	0.32186537
0.34005668	0.25275959	0.42735378
0.37415902	0.29360085	0.45471720
0.26052954	0.20010672	0.32095236
0.19141778	0.13037413	0.25246143
0.08437690	0.04831135	0.12044245
0.11923944	0.08098977	0.15748910
0.35101253	0.26156836	0.44045670
0.76211991	0.63202947	0.89221035
1.10991067	0.95825980	1.26156153
1.29437082	1.13689854	1.45184310
0.88786055	0.75788271	1.01783839
0.60740026	0.48548831	0.72931220
0.36311237	0.26060915	0.46561558
0.33796775	0.24859210	0.42734340
0.40690021	0.29499673	0.51880369
0.66264850	0.51076243	0.81453458
0.68824650	0.54335419	0.83313881
0.82413898	0.67119314	0.97708482
0.66545174	0.53150594	0.79939754
0.54598425	0.42330929	0.66865921
0.33345086	0.25159895	0.41530277
