# mean	lower_ci	upper_ci
1.17187500	-1.12500000	3.46875000
1.75781250	-1.68750000	5.20312500
4.68750000	-0.65850942	10.03350942
1.75781250	-1.68750000	5.20312500
4.68750000	-0.65850942	10.03350942
3.51562500	-1.33756205	8.36881205
0.00000000	0.00000000	0.00000000
1.75781250	-1.68750000	5.20312500
1.17187500	-1.12500000	3.46875000
6.44531250	0.12459183	12.76603317
10.54687500	2.27541260	18.81833740
7.03125000	0.22249672	13.84000328
10.54687500	2.27541260	18.81833740
7.03125000	0.22249672	13.84000328
7.03125000	0.83581955	13.22668045
6.44531250	0.12459183	12.76603317
14.64843750	5.27351524	24.02335976
15.23437500	5.53870608	24.93004392
8.78906250	1.20740228	16.37072272
14.06250000	4.59004882	23.53495118
1.75781250	-1.68750000	5.20312500
3.80859375	-0.64482737	8.26201487
8.78906250	1.20740228	16.37072272
3.51562500	-1.33756205	8.36881205
20.50781250	9.36350883	31.65211617
9.96093750	2.07841887	17.84345613
27.24609375	14.59736359	39.89482391
15.23437500	5.53870608	24.93004392
9.96093750	2.07841887	17.84345613
19.33593750	8.73806314	29.93381186
18.75000000	8.43770133	29.06229867
15.52734375	6.03640972	25.01827778
14.64843750	5.27351524	24.02335976
12.59765625	3.92070775	21.27460475
10.25390625	2.61850194	17.88931056
13.47656250	4.33495638	22.61816862
9.96093750	2.07841887	17.84345613
16.99218750	6.78159999	27.20277501
11.13281250	2.96558853	19.30003647
8.78906250	1.20740228	16.37072272
1.75781250	-1.68750000	5.20312500
10.54687500	2.27541260	18.81833740
5.27343750	-0.64684449	11.19371949
7.03125000	0.22249672	13.84000328
8.78906250	1.20740228	16.37072272
8.78906250	1.20740228	16.37072272
7.03125000	0.22249672	13.84000328
10.54687500	2.27541260	18.81833740
10.54687500	2.27541260	18.81833740
12.30468750	3.40717792	21.20219708
11.71875000	3.17796565	20.25953435
5.27343750	-0.64684449	11.19371949
9.96093750	2.07841887	17.84345613
8.78906250	1.20740228	16.37072272
3.51562500	-1.33756205	8.36881205
1.75781250	-1.68750000	5.20312500
1.75781250	-1.68750000	5.20312500
8.78906250	1.20740228	16.37072272
3.51562500	-1.33756205	8.36881205
4.68750000	-0.65850942	10.03350942
6.44531250	0.12459183	12.76603317
8.78906250	1.20740228	16.37072272
7.61718750	0.92613379	14.30824121
3.51562500	-1.33756205	8.36881205
9.37500000	1.90302974	16.84697026
8.20312500	1.05216207	15.35408793
13.47656250	4.33495638	22.61816862
14.06250000	4.59004882	23.53495118
11.71875000	3.17796565	20.25953435
13.47656250	4.33495638	22.61816862
12.89062500	4.09347641	21.68777359
14.06250000	4.59004882	23.53495118
24.60937500	12.39578877	36.82296123
21.67968750	10.36521783	32.99415717
24.02343750	12.27311800	35.77375700
18.16406250	7.75603389	28.57209111
17.57812500	7.07622780	28.08002220
18.75000000	8.05798117	29.44201883
15.23437500	5.53870608	24.93004392
19.33593750	8.36822563	30.30364937
28.12500000	15.81486218	40.43513782
19.92187500	9.04687580	30.79687420
20.50781250	9.72728647	31.28833853
15.23437500	5.53870608	24.93004392
24.60937500	12.64317818	36.57557182
21.67968750	10.36521783	32.99415717
8.20312500	1.05216207	15.35408793
8.78906250	1.20740228	16.37072272
12.30468750	3.40717792	21.20219708
15.23437500	5.53870608	24.93004392
18.75000000	8.05798117	29.44201883
10.54687500	2.27541260	18.81833740
14.64843750	5.27351524	24.02335976
7.03125000	0.22249672	13.84000328
14.06250000	4.59004882	23.53495118
15.23437500	5.53870608	24.93004392
