# mean	lower_ci	upper_ci
0.00957672	-0.00004491	0.01919834
0.02534366	0.01285241	0.03783491
0.02502353	0.00449930	0.04554776
0.02304413	0.00765893	0.03842933
0.01177485	0.00255469	0.02099502
0.02349314	0.00741029	0.03957600
0.02139178	0.00819770	0.03458586
0.01526402	0.00639411	0.02413393
0.02584657	0.01070643	0.04098672
0.02197986	0.01328678	0.03067294
0.03519440	0.02017327	0.05021554
0.03850750	0.02086014	0.05615486
0.03401651	0.01857594	0.04945709
0.02767104	0.01626782	0.03907427
0.04537904	0.02240444	0.06835364
0.04665095	0.02800614	0.06529575
0.04781960	0.02742246	0.06821674
0.05330063	0.03549869	0.07110257
0.05038207	0.02876913	0.07199501
0.04261987	0.02653984	0.05869990
0.03739594	0.02190761	0.05288428
0.03868188	0.02140560	0.05595817
0.04581280	0.02839060	0.06323499
0.02712467	0.01382684	0.04042250
0.05019434	0.03176679	0.06862189
0.03542768	0.02085735	0.04999801
0.06803559	0.04489352	0.09117765
0.04360023	0.02421665	0.06298380
0.05824436	0.03706438	0.07942435
0.04689211	0.03138460	0.06239962
0.05847501	0.02600908	0.09094094
0.07936585	0.03880124	0.11993046
0.05575853	0.03656232	0.07495474
0.04926724	0.02851143	0.07002305
0.06171068	0.03932111	0.08410025
0.06410973	0.03734246	0.09087699
0.05186827	0.03185121	0.07188533
0.05219035	0.03220354	0.07217716
0.04291711	0.02203089	0.06380332
0.04031238	0.02604758	0.05457718
0.03202743	0.01917267	0.04488218
0.02355523	0.01297866	0.03413180
0.02786407	0.01254637	0.04318177
0.01770919	0.00849508	0.02692331
0.04847939	0.02822008	0.06873869
0.04118989	0.02111485	0.06126493
0.02722708	0.01490714	0.03954703
0.03366416	0.01788157	0.04944674
0.03997629	0.01885047	0.06110212
0.03547834	0.01807998	0.05287669
0.03879440	0.01966591	0.05792288
0.04082622	0.02433299	0.05731945
0.03446171	0.01032077	0.05860265
0.02439418	0.01225845	0.03652992
0.02377015	0.01188837	0.03565193
0.03854601	0.02136733	0.05572470
0.02228152	0.00923914	0.03532391
0.03227222	0.01859286	0.04595158
0.03330891	0.01609511	0.05052271
0.02726066	0.00877985	0.04574148
0.02534972	0.01496467	0.03573477
0.02682348	0.01427596	0.03937100
0.04474486	0.02369781	0.06579191
0.02476341	0.01236737	0.03715944
0.04387880	0.02656450	0.06119310
0.03124723	0.01698206	0.04551239
0.03976658	0.01546565	0.06406750
0.03438367	0.02079684	0.04797050
0.04737728	0.02827263	0.06648193
0.05369237	0.03559435	0.07179038
0.04513684	0.02780645	0.06246724
0.05187277	0.02860754	0.07513800
0.06189849	0.03934232	0.08445466
0.05653888	0.03866748	0.07441028
0.06247190	0.03846876	0.08647503
0.05437775	0.03223045	0.07652504
0.07387178	0.05028742	0.09745615
0.06885089	0.04553552	0.09216625
0.05357904	0.03565671	0.07150138
0.07728510	0.05467664	0.09989355
0.08907021	0.05647578	0.12166465
0.08054673	0.05397412	0.10711935
0.06289464	0.04154875	0.08424054
0.05271161	0.03440021	0.07102301
0.07264958	0.04333925	0.10195991
0.06933787	0.04534148	0.09333426
0.04584650	0.03046008	0.06123292
0.03790223	0.02457016	0.05123430
0.03393801	0.02125798	0.04661805
0.05828447	0.03227001	0.08429893
0.05820469	0.03793103	0.07847836
0.04049514	0.02525721	0.05573307
0.05086883	0.03321971	0.06851794
0.04677968	0.02598316	0.06757621
0.04319989	0.01913103	0.06726875
0.06444391	0.04510615	0.08378167
