# mean	lower_ci	upper_ci
0.01266512	0.00176285	0.02356740
0.02480079	0.01252338	0.03707820
0.02863589	0.01105117	0.04622061
0.01781921	0.00650482	0.02913359
0.01482183	0.00420504	0.02543862
0.02282223	0.00800530	0.03763916
0.02069328	0.00741811	0.03396846
0.01796737	0.00805873	0.02787602
0.03368801	0.01636077	0.05101525
0.03483608	0.01869541	0.05097674
0.04273290	0.02601012	0.05945569
0.03142874	0.01629577	0.04656170
0.03399382	0.01848595	0.04950169
0.04026578	0.02294082	0.05759073
0.05584441	0.03267754	0.07901129
0.05145153	0.02899954	0.07390352
0.06497507	0.04023128	0.08971885
0.06005731	0.03964210	0.08047252
0.03900168	0.02135482	0.05664853
0.05776995	0.03438550	0.08115439
0.04197741	0.02286002	0.06109481
0.03785741	0.02287104	0.05284377
0.04667393	0.02764181	0.06570604
0.02585306	0.01115051	0.04055562
0.05050244	0.03212974	0.06887514
0.04481818	0.02642822	0.06320814
0.06618351	0.04370000	0.08866702
0.04014251	0.02436070	0.05592431
0.04972776	0.03172386	0.06773166
0.06099191	0.04240881	0.07957501
0.05482592	0.02623113	0.08342072
0.05695679	0.03580982	0.07810377
0.04854917	0.03205738	0.06504096
0.06428426	0.03955313	0.08901540
0.04382680	0.02623424	0.06141936
0.06211341	0.04035004	0.08387679
0.03776287	0.02365035	0.05187538
0.06047889	0.03949894	0.08145884
0.03877653	0.02547296	0.05208010
0.04084443	0.02640201	0.05528685
0.03155994	0.01934434	0.04377553
0.04039167	0.02176537	0.05901798
0.02425331	0.01189992	0.03660669
0.02911204	0.01511897	0.04310511
0.05467984	0.02947946	0.07988023
0.03608085	0.02022416	0.05193754
0.03497225	0.01725613	0.05268838
0.03586241	0.02097203	0.05075279
0.03095481	0.01634614	0.04556348
0.03922029	0.02311284	0.05532775
0.05112843	0.02902673	0.07323013
0.03707017	0.02323513	0.05090522
0.02185766	0.00978622	0.03392910
0.02775621	0.01491017	0.04060225
0.03637409	0.02041312	0.05233506
0.03166253	0.01565539	0.04766967
0.03051987	0.01485305	0.04618668
0.03531360	0.02189781	0.04872940
0.02624615	0.01299774	0.03949457
0.02904427	0.01521811	0.04287042
0.01866701	0.01054202	0.02679200
0.04471541	0.02537070	0.06406013
0.03623935	0.01867893	0.05379977
0.02118158	0.01060576	0.03175741
0.05087597	0.03324208	0.06850985
0.03506200	0.02068065	0.04944335
0.03689620	0.01870724	0.05508516
0.04572697	0.02881415	0.06263978
0.04512773	0.02825304	0.06200242
0.04927924	0.03337933	0.06517915
0.05480029	0.03488146	0.07471912
0.05199779	0.03329979	0.07069579
0.06422345	0.03956667	0.08888023
0.05343922	0.03570836	0.07117008
0.07110273	0.04697851	0.09522694
0.05420983	0.03078253	0.07763713
0.07130689	0.05060417	0.09200960
0.06292305	0.04369347	0.08215262
0.07108369	0.04904740	0.09311999
0.07645805	0.04858289	0.10433322
0.07539360	0.05277191	0.09801528
0.07267088	0.04980896	0.09553280
0.06553140	0.04546993	0.08559288
0.05022948	0.03271560	0.06774336
0.06893994	0.04464824	0.09323163
0.06441796	0.04356545	0.08527046
0.04577052	0.03025615	0.06128489
0.05308822	0.03383278	0.07234366
0.03991877	0.02258430	0.05725323
0.04874635	0.02835726	0.06913545
0.06309577	0.04315942	0.08303212
0.06264502	0.03843008	0.08685997
0.04625802	0.02508786	0.06742819
0.04160611	0.02502463	0.05818758
0.04428706	0.02657487	0.06199924
0.05987510	0.04204357	0.07770664
