# mean	lower_ci	upper_ci
4.57744081	1.49670620	7.65817542
8.40388780	4.44437744	12.36339816
11.10614233	4.71337750	17.49890715
11.69553540	6.15000482	17.24106599
32.74721449	5.80074039	59.69368858
16.21725026	9.29683776	23.13766275
12.71020384	5.24567188	20.17473580
12.74754688	5.61011476	19.88497900
3.79284255	1.01760098	6.56808413
2.49773726	0.51345342	4.48202110
1.91381571	0.14771236	3.67991907
4.56196533	0.85808479	8.26584587
4.19903351	1.87462047	6.52344656
7.37935751	3.95045926	10.80825575
8.67613201	3.08161330	14.27065071
5.76457614	3.04537678	8.48377549
7.47610773	3.65166315	11.30055231
9.87944771	4.41212246	15.34677296
10.43411610	5.01041004	15.85782217
11.51690937	6.08678560	16.94703315
5.20055051	1.56014081	8.84096022
6.08138257	2.58549167	9.57727347
9.05009319	4.23408887	13.86609751
6.70171976	2.89021942	10.51322010
2.62635799	1.21713276	4.03558322
4.56694865	1.98498273	7.14891458
4.11605850	2.13886995	6.09324705
3.20827750	1.48618899	4.93036602
5.23777463	2.90367848	7.57187077
6.94766257	4.13820969	9.75711545
8.79554275	3.80183834	13.78924716
9.34187794	5.24211963	13.44163624
7.90671114	3.64616074	12.16726155
7.15071685	3.39722935	10.90420436
3.15391489	1.94079393	4.36703585
5.72515589	2.62675598	8.82355580
2.97807302	1.67080625	4.28533980
2.73963419	1.19945302	4.27981536
1.88743052	0.60018064	3.17468041
1.35592246	0.57941798	2.13242695
10.12526830	5.11290186	15.13763474
10.11803034	5.26288018	14.97318050
9.15170322	4.04257650	14.26082993
7.89636298	4.15043123	11.64229473
20.30653403	8.96411675	31.64895131
32.48158952	12.19217675	52.77100230
19.15324659	11.99869634	26.30779683
29.55987803	15.85731802	43.26243804
8.20110450	4.15277026	12.24943873
2.81085600	0.88589171	4.73582029
4.00021219	0.28693348	7.71349091
8.00828429	1.08233648	14.93423210
3.23418324	1.05852991	5.40983656
1.44785125	0.45399977	2.44170273
1.50626832	0.21596632	2.79657033
0.91887240	0.01624919	1.82149560
5.86790527	1.90830897	9.82750156
7.39437464	3.08280045	11.70594883
13.41229302	4.23015787	22.59442818
7.01283171	2.00446473	12.02119870
16.61203800	9.30001100	23.92406499
16.32509521	9.56746618	23.08272424
14.07493818	8.77539679	19.37447957
17.12379296	7.55915984	26.68842608
2.32254963	0.84594895	3.79915030
0.46422782	0.10016802	0.82828762
1.11510114	0.34382589	1.88637639
0.60242252	0.05730660	1.14753845
0.68253351	0.30992714	1.05513988
2.75278288	0.89046864	4.61509712
3.09636696	0.84483685	5.34789707
2.65847411	1.06158224	4.25536597
4.59980457	2.27356527	6.92604387
4.87740572	1.99153628	7.76327516
6.18137539	3.50703947	8.85571132
5.91763613	3.07058717	8.76468509
6.50426113	2.43639053	10.57213173
12.16391462	6.52530886	17.80252039
18.40682236	11.50294990	25.31069482
16.24171769	10.13029926	22.35313612
41.52716421	28.91723599	54.13709243
52.85788704	36.81411961	68.90165447
46.24978146	33.71357202	58.78599090
53.23555928	36.09086280	70.38025575
39.21175725	26.50659822	51.91691627
29.31333625	20.84620514	37.78046736
37.51259383	23.38666140	51.63852627
30.22917005	20.80080680	39.65753329
10.32975974	5.96260654	14.69691295
10.48504774	5.43393815	15.53615732
10.36985730	4.25031772	16.48939687
7.55837042	4.28480469	10.83193615
4.19771957	1.76718912	6.62825003
1.70961172	0.59138987	2.82783356
1.66130339	0.59261404	2.72999274
2.50296813	0.19427132	4.81166494
