# mean	lower_ci	upper_ci
127.86411830	113.89672419	141.83151242
111.06863839	96.66337569	125.47390110
114.82700893	100.11857552	129.53544234
112.33258929	97.90454036	126.76063821
113.66768973	99.62103555	127.71434392
122.05915179	108.55598579	135.56231778
117.81110491	104.19764293	131.42456690
106.52762277	93.12639036	119.92885518
91.25989245	82.56986351	99.94992140
96.43567370	87.60948499	105.26186242
96.92940848	88.24940419	105.60941277
88.03863129	80.59161027	95.48565231
81.16307521	73.22425122	89.10189919
77.43764048	70.81358725	84.06169372
78.31993202	72.39053677	84.24932727
72.95762831	67.55029524	78.36496137
69.21734515	63.80547320	74.62921711
71.99528298	66.07735931	77.91320665
72.09042910	66.02344888	78.15740933
75.90113012	69.31329578	82.48896446
84.32574262	77.20546038	91.44602486
83.25134826	76.52661078	89.97608574
87.38263689	80.52006522	94.24520857
93.75270238	85.29310560	102.21229915
75.27998369	67.87337012	82.68659726
63.89256538	58.40416497	69.38096580
68.24251252	62.56713550	73.91788955
63.21152480	58.36247097	68.06057863
55.44698085	51.50663557	59.38732613
51.60817009	47.40193531	55.81440487
47.60701664	45.04917334	50.16485995
51.68627415	47.47855642	55.89399188
55.97066020	51.75223604	60.18908436
60.42489737	54.91127149	65.93852324
56.42584954	52.12463852	60.72706056
54.75955341	51.79094080	57.72816601
69.98662470	63.96906571	76.00418370
78.46467985	70.96824121	85.96111849
68.13542902	61.69589333	74.57496472
74.47425621	67.84005968	81.10845274
100.16905946	91.79564419	108.54247472
106.99497768	97.66674524	116.32321011
112.51128754	103.27910021	121.74347487
108.77397017	99.39403320	118.15390714
95.23044338	85.58151020	104.87937657
90.28210071	82.77758157	97.78661985
97.70101968	88.06045507	107.34158429
82.72312648	74.97157577	90.47467720
90.19125406	82.07893502	98.30357310
95.91429079	86.87055369	104.95802788
87.14070110	80.16880392	94.11259827
90.52049513	82.39949565	98.64149461
100.70325183	91.20408815	110.20241550
100.43805804	91.69577206	109.18034401
107.21121652	98.06505202	116.35738101
96.89617999	88.43015323	105.36220676
111.84151786	101.20692929	122.47610642
103.49203531	92.69679435	114.28727626
105.46595982	95.33937771	115.59254194
115.27622768	105.01450682	125.53794854
96.95337865	88.20446844	105.70228886
101.03680499	92.78540256	109.28820743
92.42212865	83.71641246	101.12784485
102.97842782	94.74776018	111.20909546
86.37690435	78.43321265	94.32059604
83.17687196	76.48112219	89.87262172
76.21786417	70.41037901	82.02534932
83.28965956	75.49697135	91.08234777
73.52343945	67.28837683	79.75850207
68.53764400	61.75257275	75.32271524
66.88382906	61.08012572	72.68753240
66.38918211	60.39792296	72.38044126
59.22037923	55.36809166	63.07266680
56.94568615	53.28691754	60.60445475
61.75600078	56.94055649	66.57144507
54.77177894	51.25609898	58.28745891
51.76611274	47.56717101	55.96505446
47.31116991	44.31638335	50.30595647
46.61353094	43.57691040	49.65015149
46.00678320	43.37278069	48.64078571
44.98905642	41.99099819	47.98711466
44.11930154	41.79191861	46.44668447
43.89651020	41.53413831	46.25888209
43.98488301	41.67228163	46.29748440
60.61512706	55.74152402	65.48873010
57.18692440	52.23676954	62.13707927
57.01892166	52.46666530	61.57117802
56.39318201	51.59302930	61.19333473
58.64133081	53.92326145	63.35940017
55.28658497	51.18892543	59.38424451
56.29659690	52.21389695	60.37929685
55.21127454	50.90517475	59.51737432
64.50877736	59.63227986	69.38527485
77.82234367	71.17145498	84.47323237
76.23929781	70.45480802	82.02378760
73.88282616	68.31644618	79.44920614
