# mean	lower_ci	upper_ci
0.53894131	0.45013078	0.62775185
0.68995507	0.58470632	0.79520382
0.75962211	0.64829582	0.87094841
0.81249670	0.68186163	0.94313177
0.94241036	0.75299895	1.13182177
0.84991004	0.71954669	0.98027338
0.80621220	0.68195998	0.93046442
0.76809336	0.64974664	0.88644007
1.18279159	1.04842834	1.31715484
1.39385046	1.24503553	1.54266540
1.28409588	1.14237183	1.42581992
1.57037610	1.38795495	1.75279724
1.65068054	1.48676397	1.81459711
1.98913297	1.79937746	2.17888848
2.00476369	1.79185618	2.21767121
1.92624354	1.74448853	2.10799855
2.05125043	1.84114409	2.26135676
2.12016420	1.91250723	2.32782117
2.12183686	1.87777644	2.36589729
2.20328094	1.97278049	2.43378140
1.85716903	1.66618101	2.04815706
1.75138786	1.57489680	1.92787893
1.78309274	1.57216034	1.99402515
1.71839925	1.52596286	1.91083563
1.90531391	1.72208112	2.08854670
2.29890887	2.08101201	2.51680573
2.21002643	2.01160751	2.40844535
2.27710548	2.09857919	2.45563178
2.58841765	2.36765487	2.80918044
2.80784951	2.59150942	3.02418960
2.88608143	2.63601803	3.13614482
3.06094188	2.81545147	3.30643230
2.77120036	2.53306552	3.00933519
2.52712460	2.28119158	2.77305762
2.59081003	2.40984772	2.77177233
2.57861734	2.36141011	2.79582457
2.33477516	2.15243987	2.51711044
2.00335821	1.81612563	2.19059079
2.14747867	1.97684290	2.31811445
1.99475638	1.83618586	2.15332689
1.61119117	1.42412492	1.79825742
1.37210408	1.20099489	1.54321326
1.27519790	1.11473143	1.43566436
1.25779389	1.10888690	1.40670088
1.53565802	1.33960278	1.73171327
1.91219576	1.65352521	2.17086630
1.78392829	1.55205744	2.01579915
1.87320372	1.60581344	2.14059401
1.73013570	1.54922564	1.91104577
1.40094417	1.23754548	1.56434286
1.53539349	1.38333745	1.68744953
1.67162856	1.43182929	1.91142782
1.40587808	1.24907943	1.56267673
1.22154333	1.08934681	1.35373985
1.30307481	1.15943582	1.44671379
1.23430325	1.10883007	1.35977643
1.17852209	1.02873734	1.32830684
1.14063582	0.99859504	1.28267660
1.36784651	1.16586488	1.56982814
1.15268375	1.00315716	1.30221034
1.49397939	1.31540358	1.67255519
1.69880691	1.50439157	1.89322225
1.59730003	1.41382617	1.78077388
1.56340718	1.35856406	1.76825031
1.53990444	1.39363876	1.68617011
1.52493576	1.39026891	1.65960261
1.71798270	1.55976022	1.87620517
1.74688558	1.58957624	1.90419491
1.81292879	1.66404755	1.96181004
2.03793314	1.85014342	2.22572286
2.05087627	1.86484544	2.23690711
2.11848869	1.94271038	2.29426701
2.32589853	2.13905710	2.51273995
2.56592252	2.35575476	2.77609029
2.56977722	2.36037727	2.77917717
2.63840792	2.41087120	2.86594464
2.68530340	2.45093489	2.91967190
3.10487663	2.82183404	3.38791921
3.47308005	3.14222520	3.80393490
3.44487798	3.14846015	3.74129581
3.87579704	3.49610776	4.25548633
4.34882231	3.84850499	4.84913963
4.20022408	3.75857535	4.64187280
4.19807995	3.76151367	4.63464624
3.65215785	3.26267603	4.04163967
3.12630583	2.81408858	3.43852309
3.22897208	2.87262143	3.58532272
3.31459077	2.98381705	3.64536449
2.84819827	2.58581225	3.11058429
2.86864802	2.57653903	3.16075700
2.86199549	2.57143815	3.15255283
2.67744387	2.42007717	2.93481057
2.27974812	2.07848952	2.48100672
1.89691014	1.72554075	2.06827953
1.85187224	1.68267378	2.02107070
1.88722882	1.71715140	2.05730623
