# mean	lower_ci	upper_ci
0.03750805	0.01432482	0.06069129
0.06760496	0.03217882	0.10303111
0.07658049	0.03514136	0.11801962
0.10201688	0.05005592	0.15397784
0.21132098	0.09377883	0.32886312
0.13383531	0.07741844	0.19025217
0.09336291	0.03482763	0.15189818
0.09965042	0.05071661	0.14858422
0.03755798	0.00981037	0.06530560
0.03869252	0.01064260	0.06674243
0.03535234	-0.00278749	0.07349217
0.07587259	0.01125860	0.14048658
0.06490192	0.02899031	0.10081353
0.13938633	0.06947903	0.20929363
0.14629797	0.05160422	0.24099171
0.12449301	0.06029671	0.18868932
0.15583584	0.07089845	0.24077323
0.16577368	0.08147062	0.25007675
0.21756201	0.09591649	0.33920752
0.22470863	0.12410088	0.32531638
0.09504427	0.04033596	0.14975257
0.09458135	0.03884183	0.15032087
0.13819320	0.06928544	0.20710097
0.10019282	0.05021956	0.15016608
0.05187670	0.02684132	0.07691208
0.10328145	0.04229166	0.16427124
0.08900012	0.04152337	0.13647687
0.07810501	0.02777269	0.12843734
0.14290244	0.07535718	0.21044770
0.16615616	0.09654690	0.23576541
0.21186675	0.11126422	0.31246929
0.24616038	0.14359023	0.34873053
0.19531121	0.09615064	0.29447179
0.16706192	0.07840382	0.25572001
0.07624231	0.04474363	0.10774099
0.13325801	0.06716882	0.19934721
0.07049855	0.03388675	0.10711036
0.05477512	0.02519741	0.08435283
0.04060935	0.01262010	0.06859861
0.03001025	0.01136352	0.04865698
0.14173651	0.06967755	0.21379547
0.13576908	0.07371038	0.19782777
0.10799783	0.03814651	0.17784915
0.09980950	0.05385025	0.14576875
0.21364885	0.11850110	0.30879660
0.38853407	0.23205677	0.54501138
0.31768721	0.19624335	0.43913106
0.38139208	0.21909287	0.54369128
0.14160584	0.05940962	0.22380206
0.04407461	0.01411535	0.07403388
0.05299027	0.01617456	0.08980598
0.14566357	0.01273451	0.27859264
0.05070228	0.01688103	0.08452354
0.02393882	0.00554029	0.04233736
0.02469854	0.00215123	0.04724585
0.01265596	0.00029805	0.02501386
0.06607173	0.03027212	0.10187134
0.07794991	0.03781104	0.11808879
0.16528120	0.05234689	0.27821551
0.08540494	0.01797969	0.15283018
0.19443822	0.11239219	0.27648425
0.22190011	0.13138266	0.31241756
0.20534804	0.12808359	0.28261250
0.21510450	0.10956106	0.32064793
0.04862313	0.01434745	0.08289880
0.00792817	0.00189606	0.01396028
0.02203731	0.00647547	0.03759916
0.01394801	0.00112863	0.02676740
0.01360324	0.00622234	0.02098415
0.06771185	0.02017418	0.11524952
0.05658246	0.01885311	0.09431181
0.05526914	0.02409886	0.08643942
0.08614290	0.04008999	0.13219581
0.11387184	0.05395134	0.17379234
0.13649879	0.07582542	0.19717216
0.15663654	0.07719912	0.23607396
0.15978878	0.07035311	0.24922446
0.30495301	0.16517554	0.44473049
0.47615912	0.28616714	0.66615111
0.42189948	0.27457569	0.56922328
0.86530003	0.61277922	1.11782084
1.30987214	0.92203624	1.69770804
1.16592024	0.83364330	1.49819718
1.19045202	0.86255717	1.51834688
0.89376561	0.62468865	1.16284256
0.62337445	0.44641949	0.80032940
0.69040602	0.45494152	0.92587051
0.68735308	0.47689441	0.89781175
0.25326500	0.14021779	0.36631220
0.27201977	0.13749340	0.40654615
0.26397241	0.11699220	0.41095262
0.20555907	0.11101752	0.30010062
0.09762699	0.04285034	0.15240363
0.03180097	0.01179684	0.05180510
0.03726167	0.01134978	0.06317355
0.04173520	0.00237979	0.08109060
