# mean	lower_ci	upper_ci
100.14251290	83.72163085	116.56339496
114.59182539	97.66943250	131.51421828
132.82035995	112.56922653	153.07149338
128.36839947	109.33204077	147.40475817
144.62035798	103.45418630	185.78652967
128.74141379	107.52188043	149.96094715
134.21956271	110.37594120	158.06318423
111.10988616	94.25945955	127.96031277
124.25074817	108.45973579	140.04176056
117.75003380	106.83276486	128.66730275
117.53623778	107.35550671	127.71696884
126.32438842	113.70026732	138.94850951
127.00677002	115.01929905	138.99424099
133.52995374	122.21374190	144.84616558
144.32253483	130.77752448	157.86754518
126.63237023	117.35278139	135.91195907
129.10869648	118.11725663	140.10013634
142.45604424	127.54520521	157.36688327
131.16480808	118.33907881	143.99053734
147.29094967	132.88317524	161.69872410
127.86240498	116.72712550	138.99768446
134.60778372	121.94491633	147.27065111
133.62244829	116.77930129	150.46559530
132.28467762	119.03551699	145.53383824
126.75487371	116.13083476	137.37891267
129.04499776	119.28343839	138.80655713
138.73827811	126.78427547	150.69228075
131.33062981	119.26046313	143.40079649
133.37243916	124.04172225	142.70315607
134.12789415	123.02243697	145.23335132
135.28620777	123.93645170	146.63596383
138.94454542	129.48782688	148.40126396
136.90953691	126.32832663	147.49074719
128.29030956	117.87889622	138.70172291
136.97923704	127.76336873	146.19510536
130.42730185	120.20257848	140.65202521
140.85418578	126.48230970	155.22606186
127.47644516	117.50074530	137.45214501
132.52924791	123.20454194	141.85395388
124.53306450	115.18770683	133.87842218
136.13554268	121.43342713	150.83765822
130.39359938	113.90576801	146.88143076
137.99747766	120.07337215	155.92158317
129.54250818	114.18914649	144.89586988
150.59369446	123.34536959	177.84201934
168.60518800	137.15983796	200.05053805
139.76574399	124.80876444	154.72272354
154.54482227	129.80076744	179.28887710
127.78545979	116.49102608	139.07989351
119.90013556	106.55129222	133.24897891
123.31685029	111.66420460	134.96949598
126.85438922	113.15846683	140.55031161
117.60336900	106.28733392	128.91940407
119.97317886	109.68594892	130.26040880
135.11905232	118.37112304	151.86698161
116.02086794	104.74679527	127.29494062
126.50528203	109.49162114	143.51894291
134.10245621	117.21749085	150.98742157
135.80148894	118.07206715	153.53091074
128.12126790	112.77140082	143.47113497
148.61309236	130.40483178	166.82135293
149.55362310	132.93623534	166.17101085
141.36335017	128.09415343	154.63254692
139.31807856	119.68406455	158.95209256
120.61057986	110.53427805	130.68688167
116.32206058	106.79177708	125.85234407
125.70671508	115.47149934	135.94193082
127.77933300	116.93236642	138.62629958
127.73278904	118.45940675	137.00617132
122.67816476	112.89930947	132.45702005
127.57906797	111.41263191	143.74550403
121.88819243	113.36625886	130.41012599
139.18875619	127.78548335	150.59202904
134.58681504	122.62750246	146.54612761
139.32380337	128.98505999	149.66254675
127.39372477	118.78327448	136.00417505
130.94914358	120.57745941	141.32082776
140.42597700	127.52923397	153.32272003
150.67345466	137.77634848	163.57056084
149.83862854	138.44163512	161.23562197
183.73925249	163.15599092	204.32251406
181.97237924	161.26348549	202.68127300
176.18393179	158.69472111	193.67314248
189.69865919	165.79858900	213.59872937
171.06048098	152.70644251	189.41451944
163.85670949	147.46662959	180.24678939
175.39178376	150.54045172	200.24311581
160.08719603	144.23016895	175.94422312
142.12853317	130.86277121	153.39429514
143.49283603	131.33394300	155.65172906
141.79797079	127.43427953	156.16166205
131.68846312	121.34403103	142.03289522
132.13245909	121.68352013	142.58139804
127.97497998	116.34264954	139.60731042
122.29821874	113.68474307	130.91169441
133.92281646	121.33070398	146.51492893
