# mean	lower_ci	upper_ci
0.25071663	0.21360077	0.28783249
0.31117505	0.27027232	0.35207778
0.34152081	0.29995339	0.38308823
0.35523991	0.30802146	0.40245835
0.36554469	0.31741279	0.41367660
0.35803736	0.31404867	0.40202605
0.35642465	0.31439044	0.39845886
0.16711074	0.14651045	0.18771102
0.28630840	0.25564920	0.31696760
0.33878949	0.30534801	0.37223096
0.31218588	0.28184384	0.34252793
0.37362588	0.33774008	0.40951167
0.39644465	0.36075970	0.43212961
0.46243666	0.42748809	0.49738523
0.46461643	0.42757764	0.50165522
0.45043763	0.41689338	0.48398188
0.47385365	0.43543887	0.51226842
0.48859763	0.45214486	0.52505040
0.47606871	0.43712928	0.51500815
0.49464308	0.45574212	0.53354404
0.44053119	0.40094213	0.48012025
0.41420163	0.37795849	0.45044477
0.41122488	0.37058361	0.45186616
0.32364128	0.29187183	0.35541074
0.37068744	0.33700846	0.40436642
0.43912548	0.40342690	0.47482407
0.42420526	0.39035880	0.45805173
0.43980009	0.41001682	0.46958337
0.48910304	0.45458135	0.52362474
0.52833867	0.49480091	0.56187644
0.53484293	0.49856132	0.57112455
0.56295630	0.52859457	0.59731803
0.51517783	0.48182210	0.54853355
0.47201254	0.43527190	0.50875317
0.50291354	0.47029888	0.53552820
0.48907187	0.45400795	0.52413579
0.45285532	0.42046265	0.48524799
0.38971662	0.35589381	0.42353942
0.42137386	0.39029078	0.45245695
0.60245518	0.56230415	0.64260620
0.45324459	0.41240809	0.49408110
0.39367234	0.35201776	0.43532692
0.37061927	0.33358955	0.40764899
0.38599480	0.34749251	0.42449708
0.44066972	0.39912510	0.48221435
0.50788723	0.46497730	0.55079715
0.48874703	0.44456049	0.53293357
0.37295291	0.33865573	0.40725009
0.39713247	0.36556739	0.42869755
0.33921739	0.30291743	0.37551734
0.37060081	0.33695540	0.40424621
0.38149125	0.34437396	0.41860853
0.33879395	0.30473753	0.37285037
0.29940113	0.26891243	0.32988983
0.31959407	0.28653728	0.35265085
0.39527708	0.35797863	0.43257554
0.35869345	0.32000972	0.39737718
0.34858591	0.31064140	0.38653043
0.39614328	0.35619319	0.43609337
0.35575960	0.32042129	0.39109792
0.43318039	0.39520748	0.47115330
0.49230227	0.45094288	0.53366166
0.46398399	0.42303091	0.50493708
0.26966054	0.24418270	0.29513837
0.29825626	0.27164315	0.32486937
0.30340152	0.27695826	0.32984477
0.33918908	0.30915136	0.36922679
0.34658751	0.31609839	0.37707663
0.35986511	0.33084046	0.38888976
0.39404426	0.36184172	0.42624680
0.39885876	0.36598847	0.43172905
0.41264391	0.38123365	0.44405417
0.44795113	0.41638380	0.47951845
0.49041014	0.45623016	0.52459011
0.48665569	0.45239583	0.52091554
0.49635428	0.46146673	0.53124182
0.50510292	0.46974177	0.54046408
0.55998472	0.52426478	0.59570466
0.59938419	0.56486607	0.63390230
0.69528830	0.65882501	0.73175159
0.69679242	0.66038670	0.73319813
0.70874353	0.67180828	0.74567879
0.71017397	0.67171247	0.74863546
0.73476730	0.69773193	0.77180267
0.67569602	0.63701630	0.71437575
0.61686590	0.57568957	0.65804223
0.62614022	0.58438882	0.66789163
0.52544754	0.49428272	0.55661236
0.51898665	0.48235243	0.55562088
0.51932565	0.48041106	0.55824024
0.51960462	0.48249580	0.55671344
0.49437696	0.45676329	0.53199063
0.43642423	0.40290351	0.46994494
0.37302183	0.34100425	0.40503942
0.36292211	0.33176203	0.39408220
0.36909872	0.33977698	0.39842047
