# mean	lower_ci	upper_ci
0.22266528	-0.02530467	0.47063522
0.22401962	-0.13205402	0.58009325
1.05868754	0.26082174	1.85655334
0.91803052	0.09314947	1.74291158
0.97251627	0.11299089	1.83204165
1.97304820	-0.44697974	4.39307614
2.04157421	0.77912018	3.30402824
1.14293487	0.51837404	1.76749571
1.64408702	0.72815831	2.56001573
4.51349829	2.88013047	6.14686611
4.85214824	2.73664356	6.96765293
7.64093288	3.20589236	12.07597341
4.63859335	2.50979811	6.76738858
12.70650673	6.92277846	18.49023500
10.49008166	6.52253489	14.45762843
11.28911699	6.84829446	15.72993953
10.41679995	7.02292797	13.81067193
10.13116257	5.96855987	14.29376527
11.24685874	7.69587059	14.79784689
10.06505930	6.77863320	13.35148540
15.81232161	10.31508301	21.30956021
9.37830438	4.69843355	14.05817521
10.45198524	6.78777961	14.11619087
8.93723462	5.42113362	12.45333561
8.74753447	5.12614458	12.36892436
7.17317994	5.25327230	9.09308759
21.41051162	14.34206517	28.47895807
25.14081457	18.29458353	31.98704560
16.21493947	11.52057386	20.90930507
23.11346945	15.51230997	30.71462893
34.84454945	24.98248802	44.70661088
34.43131857	27.00875786	41.85387929
25.94712331	18.69985408	33.19439253
27.27637751	17.18169027	37.37106475
24.78104177	17.02451375	32.53756979
22.96588735	16.86585566	29.06591903
24.14942460	15.04177504	33.25707416
14.90013436	10.32584384	19.47442487
18.42337020	12.99833407	23.84840632
16.55803227	11.49892679	21.61713775
14.13076825	7.63564240	20.62589409
7.07807196	3.85948077	10.29666315
5.21644206	1.06688957	9.36599454
4.78758484	2.72112157	6.85404810
3.89592443	2.19334722	5.59850164
3.57345430	2.25342020	4.89348839
8.68194957	5.64247329	11.72142584
8.69509166	2.93471957	14.45546376
9.20557762	5.26502459	13.14613065
7.11836545	4.36977106	9.86695984
10.92484439	1.13848217	20.71120661
9.00763407	4.02863244	13.98663569
5.71359179	3.38409378	8.04308981
5.08784750	2.69411489	7.48158011
7.74794913	4.11792651	11.37797176
5.02193792	3.12715654	6.91671930
3.35929063	1.86314107	4.85544019
2.91374410	1.69017299	4.13731520
3.49889294	1.72748428	5.27030161
5.25708198	2.85208247	7.66208150
2.66343935	1.29736119	4.02951750
5.05627972	2.18264480	7.92991464
10.22702858	5.85399607	14.60006109
5.53812191	3.17309131	7.90315252
3.75053490	2.23512102	5.26594878
8.00649458	4.87877781	11.13421135
7.93120776	4.94773976	10.91467576
7.95722703	5.48055836	10.43389569
7.07702065	4.93623032	9.21781098
11.46836337	7.40065456	15.53607217
14.28839181	9.86363742	18.71314621
19.04214157	13.14712434	24.93715879
11.85814293	7.77739598	15.93888989
16.65269873	10.47383345	22.83156400
27.32332065	16.84457353	37.80206777
25.47499498	16.77555970	34.17443026
30.27965657	20.73202124	39.82729190
24.55606595	16.80857628	32.30355562
32.11173273	23.81938079	40.40408468
52.54850402	39.80020744	65.29680060
38.14188850	25.94475433	50.33902267
32.24923180	21.96441088	42.53405273
37.00218092	28.17132697	45.83303487
45.91397554	35.34682300	56.48112808
45.27963042	32.58746556	57.97179528
31.97774773	23.88389461	40.07160086
41.97669036	31.71487050	52.23851022
40.61822216	29.16852302	52.06792130
30.91004228	21.44712009	40.37296447
26.08179910	17.99396908	34.16962912
25.01185209	17.78849044	32.23521374
40.08346042	28.29204197	51.87487887
36.28130982	24.54600029	48.01661935
23.94788718	14.57539034	33.32038402
20.92614392	10.20153620	31.65075164
14.75022297	9.29160957	20.20883637
