# mean	lower_ci	upper_ci
99.02343750	81.74582858	116.30104642
117.92410714	102.87496088	132.97325341
126.30301339	111.65928582	140.94674097
106.82059152	91.96444796	121.67673508
121.28627232	107.38517470	135.18736994
119.30106027	105.15387839	133.44824215
107.32016031	93.64386228	120.99645834
110.23158482	97.78581259	122.67735705
111.10630580	99.71098520	122.50162641
94.00403308	86.09079245	101.91727370
102.91713170	93.92881403	111.90544936
96.28513088	88.61557879	103.95468298
93.97511668	85.29669598	102.65353738
78.77776520	71.13322059	86.42230981
81.03219047	74.16189041	87.90249052
72.55245731	66.41719970	78.68771491
76.80484067	69.51961237	84.09006896
80.80407873	72.94173761	88.66641986
69.29492383	63.97116026	74.61868739
72.57410558	66.42944859	78.71876258
71.81085516	64.96864503	78.65306529
84.15356128	77.00575788	91.30136469
87.52781398	79.55591493	95.49971303
91.01384943	83.28977581	98.73792305
84.95564982	77.15087427	92.76042536
72.04553259	66.33349279	77.75757240
63.65521341	58.76667597	68.54375085
67.36488609	61.00693011	73.72284207
62.75820191	58.23705187	67.27935196
58.11201637	52.85126441	63.37276834
49.19357950	45.64451656	52.74264243
48.10441167	44.08613839	52.12268496
59.01712545	54.26857654	63.76567437
56.76857322	52.59260250	60.94454395
56.76100410	52.18497484	61.33703337
57.89622487	53.01149776	62.78095197
59.20177134	54.61498543	63.78855726
72.52328726	65.38212140	79.66445312
65.66689314	59.73192817	71.60185811
65.50631641	60.87924066	70.13339215
85.65886262	78.24169151	93.07603374
104.04017857	94.58191925	113.49843789
103.17801339	94.01036394	112.34566285
107.27830763	97.93183687	116.62477839
107.27818080	97.53954205	117.01681955
92.81541700	84.21123521	101.41959880
90.48248626	83.41588042	97.54909211
86.51637425	78.17607568	94.85667282
84.93633320	77.76049717	92.11216923
96.86121496	87.86463253	105.85779738
92.79043222	84.89572520	100.68513924
87.45053774	79.68721485	95.21386064
100.02397017	90.96153051	109.08640983
94.95526934	85.89101855	104.01952013
104.56752232	95.23233338	113.90271126
105.33913352	96.04955377	114.62871328
115.47864245	105.86264096	125.09464395
111.59598214	100.71464234	122.47732194
112.29492188	101.83610792	122.75373583
107.45827415	97.58411866	117.33242964
111.19419643	101.27633377	121.11205909
96.11725189	87.49086251	104.74364126
91.15910457	82.91058683	99.40762230
90.83997058	83.20077211	98.47916904
95.89974479	88.36004710	103.43944247
89.09940645	80.98589748	97.21291543
85.06805694	78.51652825	91.61958564
80.83176589	73.85967563	87.80385615
83.95816098	76.28580823	91.63051373
71.20965948	65.03800409	77.38131488
64.69051944	59.60753027	69.77350861
65.01022415	60.73497319	69.28547511
74.06858766	68.16952986	79.96764547
63.05246999	58.31377635	67.79116363
56.28266265	52.71204889	59.85327641
56.14361856	52.28253856	60.00469856
56.97131970	52.73861149	61.20402790
54.82440210	51.19984688	58.44895732
47.93957291	44.58343295	51.29571288
46.07408739	43.13645002	49.01172476
57.89571412	53.12290631	62.66852193
49.85683750	47.00683360	52.70684140
46.90099250	43.67820435	50.12378066
47.14734628	43.33251739	50.96217516
53.32766355	48.92718530	57.72814179
55.39221664	51.46708365	59.31734963
50.38761495	46.44573961	54.32949030
50.70859445	47.29950665	54.11768225
54.73127458	51.73733590	57.72521327
59.26592106	54.51951944	64.01232268
52.73956512	48.44204627	57.03708398
51.89243029	48.63731121	55.14754938
56.18768094	52.32019338	60.05516851
67.13005256	60.33152345	73.92858168
68.86132386	63.48348647	74.23916125
71.90124329	66.61370686	77.18877971
