# mean	lower_ci	upper_ci
0.15006368	0.11846775	0.18165961
0.30086623	0.26000844	0.34172402
0.33379353	0.28222557	0.38536149
0.29641891	0.24263559	0.35020223
0.35752458	0.30660064	0.40844851
0.35851710	0.30510110	0.41193309
0.39354853	0.32970774	0.45738932
0.41987469	0.36144561	0.47830377
0.45830845	0.39690945	0.51970746
0.71426849	0.64049953	0.78803746
0.67711509	0.58661131	0.76761886
0.74801390	0.65698014	0.83904767
0.80534095	0.72396146	0.88672044
1.02457222	0.89251420	1.15663023
1.08089209	0.93408845	1.22769574
1.04077128	0.92097453	1.16056803
1.10682420	0.97935191	1.23429648
0.98940613	0.85491107	1.12390119
1.09895027	0.96098208	1.23691846
1.09011330	0.96718364	1.21304296
1.24922450	1.06924020	1.42920880
0.91215226	0.76893395	1.05537058
0.95696590	0.83173831	1.08219349
0.95205664	0.82165711	1.08245617
0.93481401	0.80935384	1.06027419
1.00770409	0.91175855	1.10364963
1.43362973	1.23152372	1.63573575
1.60668950	1.40211864	1.81126036
1.37825452	1.21941208	1.53709697
1.51970927	1.34961692	1.68980161
2.05334737	1.78537160	2.32132315
2.16118111	1.89923208	2.42313015
1.73279878	1.50737248	1.95822508
1.66826730	1.44920873	1.88732586
1.65686520	1.44466900	1.86906140
1.65962808	1.45616950	1.86308665
1.60631869	1.34750597	1.86513142
1.30800906	1.12758385	1.48843427
1.40484225	1.22555632	1.58412817
1.37851599	1.18140487	1.57562710
1.10197436	0.91564197	1.28830674
0.73887243	0.63252683	0.84521804
0.63220058	0.54483004	0.71957113
0.66308836	0.58149725	0.74467948
0.63004059	0.55289313	0.70718805
0.70971248	0.62629077	0.79313418
0.83724954	0.73237765	0.94212143
0.82999719	0.68163658	0.97835780
0.97514955	0.83140058	1.11889851
0.80677690	0.70620643	0.90734737
0.82656391	0.65317765	0.99995018
0.91425879	0.75925597	1.06926161
0.78978115	0.69483417	0.88472813
0.66997404	0.58836506	0.75158302
0.72369599	0.62286874	0.82452324
0.72975815	0.64032033	0.81919596
0.59863527	0.52176915	0.67550138
0.56362703	0.49130541	0.63594865
0.53458536	0.47384760	0.59532311
0.67523539	0.58057263	0.76989814
0.61520290	0.54595585	0.68444995
0.70577941	0.61609490	0.79546393
0.85167033	0.72417463	0.97916604
0.77442508	0.68196763	0.86688254
0.68416003	0.60710328	0.76121678
0.91641364	0.80870373	1.02412354
0.86906402	0.76237394	0.97575410
0.94131484	0.83548841	1.04714128
0.96028465	0.86785817	1.05271113
1.10799063	0.97183646	1.24414480
1.29189094	1.13027566	1.45350622
1.40967285	1.22166405	1.59768164
1.10927519	0.96794274	1.25060764
1.33425517	1.17914286	1.48936747
1.65297555	1.43471077	1.87124033
1.69818374	1.43222073	1.96414675
1.90386554	1.61610066	2.19163042
1.69476022	1.44692233	1.94259811
1.95961764	1.71943224	2.19980304
2.61544640	2.28681847	2.94407434
2.20456859	1.81937819	2.58975900
1.99164155	1.68585255	2.29743054
2.20544919	1.93857362	2.47232475
2.47903003	2.15107264	2.80698742
2.41382950	2.03889427	2.78876474
1.98150424	1.71675423	2.24625426
2.31634968	1.99426799	2.63843136
2.22764507	1.89305662	2.56223351
1.93844881	1.66617692	2.21072071
1.71069433	1.46886378	1.95252487
1.70837750	1.49890140	1.91785360
2.03668753	1.77166276	2.30171231
2.04493442	1.74937766	2.34049118
1.48811189	1.27062055	1.70560323
1.37516555	1.19291857	1.55741253
1.26222239	1.05478935	1.46965542
