# mean	lower_ci	upper_ci
0.00159939	-0.00025452	0.00345331
0.00330013	-0.00219269	0.00879295
0.01154231	0.00253335	0.02055127
0.01168315	0.00106867	0.02229763
0.01115408	0.00076651	0.02154166
0.01445163	-0.00223117	0.03113443
0.02558677	0.00828122	0.04289232
0.01338161	0.00578066	0.02098255
0.01877672	0.00735784	0.03019561
0.05985978	0.03883604	0.08088352
0.07777113	0.04273301	0.11280924
0.08826611	0.05059823	0.12593399
0.08050857	0.04341813	0.11759900
0.18507119	0.11122936	0.25891301
0.20874500	0.11889177	0.29859823
0.18018242	0.11731130	0.24305354
0.19204742	0.12732647	0.25676837
0.18098189	0.09403597	0.26792781
0.22415140	0.14694149	0.30136131
0.19454686	0.12867064	0.26042309
0.31582193	0.19556223	0.43608164
0.16191166	0.07109597	0.25272735
0.17181304	0.10943511	0.23419097
0.16334193	0.09538540	0.23129846
0.15107607	0.09184361	0.21030854
0.13662278	0.09629983	0.17694573
0.42690359	0.28941127	0.56439590
0.51923315	0.38099802	0.65746828
0.34043370	0.24334656	0.43752084
0.42227110	0.31217475	0.53236744
0.78793519	0.57231124	1.00355913
0.85361778	0.64900526	1.05823029
0.59919934	0.43682242	0.76157626
0.53408040	0.37198134	0.69617946
0.53306487	0.38171429	0.68441546
0.52710539	0.38320192	0.67100887
0.53178684	0.32840114	0.73517255
0.33490898	0.21423006	0.45558791
0.37199757	0.25616718	0.48782796
0.38394121	0.24719591	0.52068651
0.27564996	0.15020997	0.40108995
0.10675792	0.04896474	0.16455109
0.05262382	0.02142011	0.08382753
0.06643925	0.03404951	0.09882900
0.05067508	0.02743409	0.07391606
0.05650737	0.03445641	0.07855834
0.13607818	0.08575830	0.18639806
0.14048644	0.04917650	0.23179637
0.17504388	0.08516155	0.26492622
0.10393082	0.06190910	0.14595255
0.15834092	0.02677192	0.28990993
0.16156680	0.05425184	0.26888175
0.09329395	0.05130757	0.13528033
0.06956777	0.03568296	0.10345258
0.09196117	0.04852578	0.13539656
0.07617536	0.04507812	0.10727261
0.04252335	0.02314397	0.06190274
0.03822414	0.02133245	0.05511583
0.03361696	0.01952787	0.04770605
0.07397678	0.03791099	0.11004256
0.03461349	0.01794999	0.05127698
0.06824060	0.03341377	0.10306744
0.14949089	0.08068611	0.21829567
0.08584421	0.05089274	0.12079567
0.05282633	0.03151390	0.07413877
0.12730196	0.08129816	0.17330576
0.13500303	0.07935413	0.19065193
0.14319450	0.09788190	0.18850709
0.12293587	0.08530363	0.16056812
0.20965864	0.13178568	0.28753161
0.30718840	0.21329632	0.40108048
0.39114031	0.25720515	0.52507548
0.21807092	0.13334828	0.30279355
0.30866938	0.20937521	0.40796356
0.53021165	0.37135760	0.68906571
0.58807031	0.37427566	0.80186495
0.73224541	0.50334973	0.96114108
0.55777332	0.36853947	0.74700717
0.72524757	0.54423787	0.90625727
1.25115723	0.98128395	1.52103051
1.00301224	0.67232317	1.33370131
0.76125645	0.50423629	1.01827661
0.88557583	0.67448528	1.09666638
1.14519675	0.87826620	1.41212731
1.12878455	0.80971763	1.44785147
0.75051296	0.54404408	0.95698184
1.02825152	0.76010497	1.29639807
0.97419482	0.69887554	1.24951411
0.72088010	0.50122559	0.94053460
0.57159199	0.38492572	0.75825826
0.55219105	0.40112747	0.70325463
0.82272947	0.61927409	1.02618484
0.82888453	0.59049813	1.06727092
0.45414666	0.30334707	0.60494624
0.37974153	0.25664073	0.50284233
0.32803304	0.18000100	0.47606509
