# mean	lower_ci	upper_ci
33.65741906	27.05408005	40.26075807
47.33457520	41.98234100	52.68680940
55.09690220	48.74393329	61.44987111
45.95274816	39.08147518	52.82402113
53.94587002	47.26618389	60.62555615
57.39374543	47.52133198	67.26615888
57.47435968	50.21837322	64.73034615
56.69521271	49.91451220	63.47591322
60.16548305	53.28865196	67.04231415
63.31137267	57.51004210	69.11270324
54.84489581	49.76829019	59.92150143
67.70028619	57.97661843	77.42395396
62.26293208	57.41754801	67.10831616
72.76763705	63.10318460	82.43208950
69.68229073	62.28369296	77.08088850
70.98169713	62.34466225	79.61873200
70.07898986	63.41596749	76.74201223
65.58261654	58.39518122	72.77005187
67.77951370	61.33107965	74.22794775
70.80288047	63.18225432	78.42350661
74.69189005	65.65216709	83.73161301
67.08347297	58.93013545	75.23681048
70.10430852	62.26400257	77.94461448
66.10065937	59.45044128	72.75087746
67.46749845	60.66182286	74.27317405
64.25543391	59.74020007	68.77066774
81.70568970	71.87812042	91.53325897
85.15463817	75.38787384	94.92140250
73.78070379	66.39356984	81.16783774
84.96829464	73.61843215	96.31815712
96.22451275	83.89155200	108.55747351
93.57965758	83.53660362	103.62271154
81.50898755	71.78147186	91.23650323
88.36650184	75.32137466	101.41162901
81.42477142	70.90776928	91.94177356
79.73897417	71.36138820	88.11656015
80.73579132	69.56154608	91.91003657
72.41080319	65.42302330	79.39858309
80.31633429	70.84637011	89.78629847
74.06471416	66.82261101	81.30681731
69.92632787	60.86773905	78.98491668
66.81056142	59.25877255	74.36235029
61.44033594	51.70353758	71.17713429
64.02801121	58.30457284	69.75144958
61.32012964	54.61441364	68.02584564
60.97761369	55.10821370	66.84701368
66.30154295	59.36091089	73.24217500
65.77112204	56.53489798	75.00734611
67.52184615	60.88030336	74.16338893
67.70902925	59.49799919	75.92005931
67.08655998	54.14820989	80.02491008
68.58151066	60.48492113	76.67810018
65.46136459	58.59130928	72.33141990
59.34160906	52.93992975	65.74328837
74.27062405	64.55898320	83.98226490
63.76947267	57.90149696	69.63744837
59.93942451	53.93582751	65.94302150
63.98435129	55.68921553	72.27948706
62.87665947	53.00573328	72.74758566
66.43216744	59.18075316	73.68358171
61.83338861	55.92285707	67.74392015
62.67636025	54.61970681	70.73301369
70.49256448	61.46111166	79.52401731
62.04338384	56.08383593	68.00293175
58.89814090	53.64670157	64.14958023
66.41068421	59.53878574	73.28258268
63.55404431	57.07989901	70.02818960
62.59752916	57.41485812	67.78020020
68.59558288	63.24949292	73.94167284
69.96142354	63.13770656	76.78514051
71.27247205	64.11628375	78.42866035
78.96518205	70.07753202	87.85283208
70.56210223	63.10474189	78.01946258
78.51800463	69.16401036	87.87199890
87.09475413	73.36269060	100.82681766
83.90994401	73.38227476	94.43761326
88.71110504	77.18747805	100.23473203
81.63156863	71.27308992	91.99004735
90.74431462	79.88805546	101.60057378
112.70913640	97.38776160	128.03051119
95.52600515	81.79392518	109.25808511
93.86350767	81.35559212	106.37142322
96.73206369	85.59241378	107.87171361
104.38983970	91.11238017	117.66729923
104.32358763	89.56665727	119.08051800
93.91387847	83.80393735	104.02381959
102.30166362	90.01798637	114.58534088
99.67628325	85.82973307	113.52283344
90.16926836	78.78888247	101.54965424
88.02943874	77.21093081	98.84794667
83.22747333	73.39349251	93.06145415
100.68202369	84.99206644	116.37198093
95.36686082	81.24388672	109.48983492
83.91910558	70.17276480	97.66544635
80.98125165	66.96764274	94.99486056
77.07369405	67.12436603	87.02302207
