# mean	lower_ci	upper_ci
0.01281272	-0.00499379	0.03061922
0.00755381	-0.00438024	0.01948785
0.03696466	0.00671026	0.06721906
0.02976959	-0.02113040	0.08066958
0.06725732	-0.00295998	0.13747462
0.03998047	0.00566777	0.07429316
0.03059446	0.00224536	0.05894357
0.03306077	-0.00349368	0.06961522
0.07362823	0.00366585	0.14359060
0.09674087	0.01882098	0.17466075
0.08129179	0.02649372	0.13608985
0.07010253	0.03224778	0.10795728
0.09669132	0.04737350	0.14600914
0.17759527	0.10033979	0.25485074
0.09507558	0.04623805	0.14391310
0.11857201	0.05826925	0.17887477
0.12833070	0.05222993	0.20443146
0.15229742	0.08761092	0.21698392
0.13688025	0.07517553	0.19858496
0.10917151	0.06415697	0.15418604
0.08202158	0.04640667	0.11763648
0.14883013	0.07660693	0.22105333
0.07783418	0.04238651	0.11328186
0.15674792	0.05977937	0.25371648
0.10127211	0.05573154	0.14681267
0.14373249	0.08370792	0.20375705
0.14826628	0.09052402	0.20600855
0.14423848	0.08015450	0.20832246
0.18098760	0.12412628	0.23784892
0.18882258	0.13309113	0.24455403
0.14374780	0.09075115	0.19674445
0.19114152	0.12646143	0.25582160
0.12805594	0.08822423	0.16788765
0.22098852	0.14141507	0.30056197
0.15036653	0.10098133	0.19975174
0.20633318	0.13366539	0.27900097
0.20675335	0.10955508	0.30395162
0.16717137	0.07989844	0.25444430
0.11143575	0.06789542	0.15497608
0.11771179	0.05660827	0.17881530
0.06164815	0.02889942	0.09439689
0.08799686	0.03621560	0.13977812
0.12023169	0.03804566	0.20241772
0.08490989	0.03202878	0.13779100
0.03544592	0.01077744	0.06011441
0.08387092	0.04536094	0.12238090
0.13210661	0.02352616	0.24068707
0.04053912	0.01262820	0.06845003
0.08475143	0.02256425	0.14693861
0.09417915	0.04163803	0.14672028
0.09134471	0.04891657	0.13377284
0.11841415	0.05209130	0.18473701
0.09499634	0.03369097	0.15630171
0.08244950	0.03143872	0.13346028
0.09476440	0.03875210	0.15077669
0.06665649	0.02211570	0.11119728
0.05080504	0.01767822	0.08393186
0.08415172	0.03466565	0.13363780
0.03695982	0.01619255	0.05772710
0.06956090	0.02787815	0.11124364
0.10267349	0.03863341	0.16671358
0.07782105	0.03493916	0.12070294
0.08934665	0.03770279	0.14099051
0.11464175	0.04764772	0.18163578
0.09777554	0.04419040	0.15136069
0.14002173	0.07833242	0.20171104
0.14921688	0.08662628	0.21180749
0.13783315	0.07211622	0.20355007
0.11817732	0.04917024	0.18718439
0.10642300	0.06977870	0.14306730
0.16752146	0.09797618	0.23706674
0.12932947	0.08062025	0.17803869
0.12543612	0.06881167	0.18206058
0.14046650	0.08600434	0.19492865
0.21799565	0.14278780	0.29320350
0.20742085	0.14097104	0.27387065
0.14347370	0.09814112	0.18880628
0.24273901	0.14384756	0.34163046
0.20050262	0.13886007	0.26214517
0.18778196	0.12874563	0.24681829
0.17210367	0.10987162	0.23433572
0.23769554	0.16991971	0.30547138
0.16903094	0.10840799	0.22965389
0.19595134	0.14350197	0.24840072
0.18604539	0.11029165	0.26179914
0.16752136	0.10539648	0.22964624
0.18717165	0.12420532	0.25013798
0.19979302	0.13115405	0.26843200
0.20417252	0.12219773	0.28614732
0.19466816	0.13388742	0.25544889
0.23785240	0.16516021	0.31054459
0.15718959	0.10538958	0.20898959
0.12722947	0.08153274	0.17292621
0.12363087	0.05086030	0.19640144
0.14664958	0.08629997	0.20699919
0.08994383	0.05152544	0.12836222
