# mean	lower_ci	upper_ci
118.76953125	102.63253228	134.90653022
127.21958705	113.05509322	141.38408089
124.63727679	109.90050359	139.37404998
111.06863839	97.16224249	124.97503430
114.59263393	101.14382150	128.04144636
116.34359781	102.67559441	130.01160121
128.06234781	114.76654935	141.35814627
123.67047991	110.95037335	136.39058647
103.16697950	92.88461710	113.44934191
92.36911526	84.20336526	100.53486526
93.55887277	85.20254324	101.91520229
87.93843851	80.91334445	94.96353258
85.42942409	77.75266933	93.10617885
70.66490150	65.25727806	76.07252495
77.05487872	70.57419931	83.53555812
70.59455193	65.20215647	75.98694740
69.34991766	62.90660430	75.79323102
67.38952454	62.43218845	72.34686062
67.09404509	62.07892652	72.10916366
71.89743850	65.99224675	77.80263024
77.98953976	71.07383459	84.90524492
83.53483918	75.85228764	91.21739073
84.47636348	77.03162119	91.92110577
88.72797125	81.05798533	96.39795717
71.70453570	65.65130934	77.75776205
61.89388736	56.22185206	67.56592267
62.94716514	57.49523568	68.39909460
60.92659437	56.00378657	65.84940218
56.65433974	51.80947125	61.49920823
49.88757285	45.86833032	53.90681538
47.87044642	44.44939390	51.29149894
46.47733758	43.45653702	49.49813813
51.27513600	47.42531722	55.12495477
55.46918557	50.94433538	59.99403576
55.60337267	50.86516258	60.34158277
52.45592097	49.14371876	55.76812319
59.93664051	55.68757238	64.18570864
68.01232947	62.44252793	73.58213100
65.60680530	59.93766148	71.27594913
65.44740904	60.83479666	70.06002141
90.79232291	83.97532841	97.60931741
103.95939022	94.96442852	112.95435192
103.30801035	94.20787254	112.40814816
102.58129566	92.89092735	112.27166397
91.66040990	82.73722061	100.58359919
93.59531094	85.64674206	101.54387981
88.89500148	81.93594407	95.85405889
83.45703125	76.38963072	90.52443178
79.71438718	73.59977361	85.82900074
93.59078422	84.97211974	102.20944869
84.24034949	77.63072330	90.84997569
83.84524655	76.78744822	90.90304488
88.47973316	79.52925433	97.43021198
99.69460227	90.68596336	108.70324119
100.63895089	91.33468744	109.94321434
100.74231433	91.75414783	109.73048082
112.94782366	102.66614270	123.22950463
112.08984375	101.50105601	122.67863149
107.09149249	98.52299035	115.65999463
109.98478084	101.13913042	118.83043127
99.84375000	91.33669884	108.35080116
93.65377786	85.64776596	101.65978977
92.39130986	83.37666457	101.40595515
94.98934659	87.07250044	102.90619274
83.28728888	76.70501379	89.86956398
78.29523992	72.14975203	84.44072780
79.93370887	73.60555254	86.26186520
79.29978225	71.39858465	87.20097985
72.91293667	66.08696156	79.73891179
68.51007047	61.74665213	75.27348880
67.11763478	60.86185948	73.37341008
61.25501107	56.72846873	65.78155342
61.19147454	57.09995468	65.28299440
52.56487473	49.47235460	55.65739486
56.59325825	52.69147058	60.49504592
51.38454807	47.84815933	54.92093681
51.29299375	47.69141473	54.89457277
45.88291476	43.46664872	48.29918081
44.25632724	41.88308163	46.62957284
44.68632692	41.99150617	47.38114768
47.53704980	44.21752205	50.85657754
41.89753548	39.87615317	43.91891779
42.86170644	40.29123590	45.43217699
45.54196887	41.88796431	49.19597343
49.04497773	45.46725766	52.62269781
54.95861216	50.77700901	59.14021531
56.41112449	51.40806926	61.41417973
50.73583930	47.20459501	54.26708359
52.92264032	49.55457711	56.29070353
55.04918708	50.29011752	59.80825665
51.90287703	47.80687653	55.99887754
52.09151652	48.28731664	55.89571639
60.99896685	55.29204613	66.70588757
69.22608154	63.01948936	75.43267372
72.78551527	66.79575444	78.77527609
69.93189428	65.37396874	74.48981982
